Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_type
"Hà Nội đủ cứng rắn để giải quyết (giao thông, tắc nghẽn vỉa hè, nắng nóng, v.v.), nhưng nhận được thái độ từ một chủ nhà hàng thì nhiều hơn tôi có thể xử lý được. Mediterraneo có đồ ăn ngon - hơi đắt so với Hà Nội - nhưng bản tính khó đoán của chủ sở hữu nên quan tâm đến bất kỳ ai tìm kiếm đồ ăn ngon gần khu vực Phố Cổ / Nhà thờ Công giáo. Tôi đã đến nhà hàng vài lần, nhưng vài lần gần đây nhất, tôi đều là mục tiêu của thái độ tự mãn của chủ quán hoặc chứng kiến ​​cảnh anh ta bắt nạt nhân viên và / hoặc khách hàng. Tránh nơi này.",0,0,1,0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,an_uong 
"Vị trí gần biển, quảng trường và tháp trầm hương",0,3,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,giai_tri luu_tru 
Dịch vụ quá tệ. Nhân viên làm việc không giữ lời hứa. Đã qua 3 tháng mà bên đó chưa hoàn tiền cho đoàn.,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,giai_tri luu_tru 
"Tôi không thực sự thích nơi này vì tôi thấy một vài mặt hàng đắt hơn, vẫn thích chợ Bin Tay.",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,mua_sam 
"Không nên gọi vào số điện thoại của tổng đài, tổng đài viên câu giờ rất mất thời gian trong khi phí gọi là 8k cho 1 phút tính cho người gọi. Phí gọi quá cao. Mình gọi hỏi cái số điện thoại để gửi hàng thôi mà mất 2 phút, tính ra là 16k.
",0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,di_chuyen 
Cơ sở chả ram uy tín nha,0,0,0,5,0,5,0.0,0.0,0.0,5.0,0.0,0.0,mua_sam 
Tôi phải nói rằng nơi này là một trong những nơi yêu thích của tôi.,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,luu_tru 
Cơm chiên đến khá nhanh nhưng tôi chưa bao giờ nhận được món cá mập nướng của mình. Một lúc sau nhân viên mang cho tôi một ít cơm chiên cá và tôi nói với họ rằng tôi chưa gọi món mà họ để trên bàn.,3,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,giai_tri an_uong 
"Tuy đông nhưng phục vụ vẫn khá nhanh, chất lượng tạm ổn chứ không được xuất sắc, giá cao so với mặt bằng chung.",5,0,0,3,0,0,0.0,0.0,0.0,3.0,0.0,0.0,giai_tri 
"Nhà hàng có xe điện và oto đưa đón khách từ FLC đến nhà hàng tận nơi. nhiều Hải sản tươi chế biến ngon. Không gian rất thoáng mát và đặc biệt nhân viên và chủ quán rất vui vẻ , thân thiện với khách. Chắc chắn sẽ quay lẠi với quán hoàng thao này !!!",0,0,5,0,5,0,0.0,0.0,5.0,5.0,0.0,0.0,an_uong di_chuyen 
Đây là món ăn ngon nhất chúng tôi có ở Việt Nam cho đến nay. Hãy thử bánh kếp với thịt bò! Đội rất tốt Cảm ơn bạn rất nhiều vì sự hiếu khách của bạn!,0,0,0,5,0,0,0.0,0.0,5.0,5.0,0.0,0.0,nha_hang 
"Quán ngay cạnh biển, không khí mát mẻ, giá cả đồ uống phải chăng, sẽ quay lại vào dịp tới đến Quy Nhơn",5,0,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,giai_tri an_uong 
"Khá lý tưởng cho các tín đồ mua sắm hoặc đơn giản chỉ đi chơi cho đổi không khí, được ngắm các gian hàng đẹp, được ăn uống, đc xem phim.",4,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,5.0,mua_sam 
"Mình mua hộp mực rim me với giá 85k về mở ra thì bên trong mực đã bị mốc. Vào cửa hàng hi vọng mua được đồ chất lượng tốt hơn ngoài chợ mà cũng k hơn.
",0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0,an_uong mua_sam 
"Một nơi mơ ước, đặc biệt là khi có ít khách du lịch, đó là trường hợp của chúng tôi trong thời gian lưu trú!",0,0,0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,luu_tru 
"Có đầy đủ cá dịch vụ giải trí như xem phim, chơi bowling, game, ăn uống cafe, sang trọng và hiện đại. Nhân viên thân thiện, cảnh đẹp",5,5,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,luu_tru 
"Nước không ngon, nhạc quá lớn và không phù hợp với không gian. Phục vụ chậm.
",0,0,0,2,0,0,2.0,0.0,0.0,2.0,0.0,0.0,giai_tri 
"Tuyệt vời, giá ok, sẽ quay lại đây và giới thiệu cho bạn bè",0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,luu_tru 
"Nhà hàng có người quản lý tệ nhất mình từng gặp, mình đi có đem theo xe đẩy em bé, thay vì ko thích có thể nói lịch sự thì mình cũng hiểu, đằng này đụng vô xe đẩy của mình rồi tỏ vẻ khó chịu, sau đó quay ra nói lớn với nhân viên để cho mình nghe thấy “sau này khách nào có xe đẩy thì nói để ở ngoài hết”, vâng, vừa ăn vừa bế con chắc ăn ngon lắm. Cách cư xử quá kém như cái chợ của chị quản lý nha",0,0,2,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,an_uong 
"Sau khi di chuyển trong 18 giờ, thật nhẹ nhõm khi nhìn thấy tấm biển có tên của chúng tôi trên đó tại sân bay Hồ Chí Minh rất đông đúc. 
Sau khi tìm thấy nhau, tài xế của chúng tôi lên lấy xe và chúng tôi đi. Mọi thứ đều trả trước. Không có căng thẳng kết thúc một ngày dài.",0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,di_chuyen 
Saigon Transfers thật tuyệt vời! Thời gian đến của chúng tôi thay đổi nhiều lần nhưng cô Vũ vẫn có sức chứa và rất phản hồi qua email.,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,di_chuyen 
Mình không có gì để chê,0,0,0,0,0,0,0.0,4.0,5.0,5.0,0.0,0.0,luu_tru nha_hang an_uong 
"Thái độ nhân viên ở đây làm tôi không hài lòng, nhân viên  phục vụ không nhiệt tình. Đề nghị ban quản lí xem xét về thái độ của nhân viên đối với khách hàng",0,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,giai_tri nha_hang mua_sam 
"Ở đây view đẹp, nhiều khách du lịch nước ngoài nhưng đồ ăn với đồ uống thì lại hơi đắt và ko ngon nữa. Ở đây buổi tối rất tuyệt, lãng mạn, có nhạc nữa, nhạc hơi to, phù hợp với các đôi yêu nhau hay đang tán tỉnh nhau
",0,0,0,4,0,0,4.0,0.0,0.0,3.0,0.0,0.0,giai_tri 
"Gia đình mình ở FLC và tìm thấy quán này trên trip. Quán có xe đưa đón khách miễn phí ở FLC rất tiện lợi. 
Vị trí quán ở ngày cạnh địa điểm du lịch Eo gió, có thể kết đón hoàng hôn ở Eo gió và xuống ăn tối luôn.",5,0,0,0,0,0,5.0,0.0,0.0,0.0,5.0,0.0,di_chuyen 
"Tôi có thể hiểu nếu một nhà hàng vẫn tồn tại mà không có thứ gì đó trong nhà bếp, nhưng tôi không hiểu tại sao họ không đến nói với tôi và họ đã đưa cho tôi một cái gì đó ngẫu nhiên từ thực đơn mà họ cho là phù hợp.",1,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,giai_tri nha_hang 
"Đường đi vào hơi chông gai. Tới nơi thì tuyệt vời. Bãi biển sạch đẹp. Mọi người ở quanh vùng đều ý thức giữ gìn bãi biển xanh, sạch & đẹp.
",4,0,0,0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,di_chuyen 
"Gia đình mình có trẻ con nên ở phòng đôi k có bồn tắm, nhưng khách sạn linh động cho mình phòng đôi có bồn tắm trẻ con tắm thoải mái.Nhân viên lễ tân nhiệt tình, lễ phép. VỊ TRÍ thuận tiện, đi bộ 2p là đến vincom, 3p là ra đến biển, khá gần đường chính.",0,5,0,0,5,0,0.0,5.0,0.0,0.0,0.0,0.0,di_chuyen 
"Đây là một khu phức hợp mua sắm với một cửa hàng tạp hóa lớn. Nơi này cũng có quán cà phê, máy ATM, một số nhà hàng và sân chơi cho trẻ em.",0,0,0,0,0,4,4.0,0.0,0.0,0.0,0.0,4.0,giai_tri 
"Lựa chọn của du khách nếu đến thành phố biển mà chưa biết ăn gì hay đơn giản là chỉ muốn dùng cơm trưa. Ở đây nổi tiếng nhất là món cơm gà. Rất ngon, tuy nhiên giá cả thì hơi cao tí, khoảng 70.000vnd/phần. Nhưng nói chung đắt xắt ra miếng ma.",0,0,0,5,2,0,0.0,0.0,0.0,4.0,0.0,0.0,di_chuyen 
"Khi vào mua thức ăn nhanh tại quầy thanh toán tiền nhân viên hỏi bánh hỏi, tô bún với dùi gà vào luc 10:15h ngày 28/6 em có tl mà nhận viên k nghe rõ và hỏi lại lần nữa e trả lời của e. Nhân viên tỏ ra thái độ khó chịu và nói với e hồi nãy hỏi thì nói không. Mặt nhăn nhó nói gắt gỏng . Lần đầu tiên trãi nghiệm ở bigc qui nhơn mà ấn tượng không tốt r. Không có lần sau vào bigc này nữa.
",0,0,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,an_uong mua_sam 
"Những ai yêu màu "" xanh ngát xanh "" thì đây là một địa điểm không thể bỏ qua. Với tông màu xanh ngọc chủ đạo trong nội thất của quán, hòa cùng màu xanh của nước biển, của núi bên cạnh quán hay những con thuyền màu sắc xanh rực rỡ trước nhà hàng thì đây là một điểm check-in tuyệt vời rồi. Đặc biệt quán còn có dịch vụ câu cá free, khi bạn đến đây thì liên hệ nhân viên, họ sẽ cho bạn mượn cần và chuẩn bị mồi câu cho bạn.",0,0,0,5,0,0,5.0,0.0,0.0,0.0,0.0,0.0,giai_tri an_uong 
"Khu Trung Tâm
Trải nghiệm sống tiện nghi, phong phú tại Thị Nại Eco Bay với các công trình thương mai kết hợp vui chơi giải trí, phục vụ nhu cầu của cư dân và du khách.

Biệt thự trên đảo
Gồm 4 loại biệt thự được bố trí theo từng nhánh, như dòng chảy của đại dương uốn quanh mềm mại, hài hòa với cảnh quan, thiết kế kết hợp hài hòa giữa tự do và riêng tư trong môi trường kết nối cộng đồng, phù hợp với lối sống hiện đại.

Khách sạn
trên đảo
Toạ lạc trên một đảo độc lập, yên tĩnh, được trang bị tiện ích đẳng cấp. Đặc biệt, khách sạn với góc nhìn tuyệt đẹp từ hầu hết các phòng.

Khu Resort trên cọc
Khu resort trên cọc cho bạn tận hưởng thiên đường “Maldives” ngay tại Thị Nại Eco Bay, nơi giao hoà đất trời, riêng tư và gần gũi với thiên nhiên. Trải nghiệm giá trị cuộc sống cùng với rừng cây và đại dương bao quanh.

Bến Du thuyền
Du thuyền không chỉ là phương tiện giao thông tiên tiến mà còn là trở thành điểm đến cho những ai tìm kiếm một lối sống phong cách và đẳng cấp. Bến du thuyền góp phần hoàn chỉnh các đầu mối giao thông khu vực trên 5 hòn đảo tại Thị Nại Eco Bay.",5,5,0,0,5,0,0.0,5.0,0.0,0.0,0.0,0.0,giai_tri di_chuyen 
"Thật là một trải nghiệm nhà hàng thú vị và thư giãn. Đi xuống một con hẻm nhỏ và trong khi một số tòa nhà xung quanh ngóc ngách nhỏ này đang được trùng tu, nhà hàng này vẫn kiên nhẫn ngồi đó chờ bạn ghé thăm. Lối trang trí thế giới cổ của Pháp, dịch vụ thân thiện và đồ ăn ngon. Chúng tôi thích nó đến nỗi chúng tôi đã quay lại ba lần. Và lần gần đây nhất là trận chung kết World Cup bóng đá nên chúng tôi đã ăn và sau đó xem trận đấu với những người bạn đồng hành cũng như người dân địa phương. Những phát súng ăn mừng do Barman truyền tay nhau. Bầu không khí tuyệt vời.",5,0,5,5,0,0,0.0,0.0,5.0,5.0,0.0,0.0,giai_tri 
"Mấy bạn quản lý khách sạn rất nhiệt tình, thân thiện",5,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,giai_tri luu_tru 
"Nhà hàng sạch,món ăn ngon. Nhân viên thân thiện.tôi sẽ quay lại vào một ngày gần nhất.cảm ơn các bạn",5,0,5,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,giai_tri nha_hang 
"Dịch vụ tốt, không khí trong lành, hậu mãi. Phát huy tốt hơn nữa
",0,0,0,0,0,5,5.0,0.0,0.0,0.0,0.0,0.0,giai_tri mua_sam 
"Gần Biển, nhân viên niềm nở, phòng khách sạn sạch và mới. Buffet sáng ăn ổn",0,4,3,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,nha_hang 
Trong lúc tụi mình chờ check-in đã được nhân viên mời 1 đĩa nho rất tươi ngon,0,4,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,luu_tru an_uong 
"Quá tuyệt vời! Phục vụ tốt, đồ ăn ngon. Nhờ có C.ine mà gia đình tôi đã có những ấn tượng đẹp về ẩm thực ở Quy Nhơn. Có dịp quay lại chúng tôi sẽ tiếp tục gửi niềm tin ở C.ine.",0,0,5,0,0,0,0.0,0.0,5.0,5.0,0.0,0.0,an_uong 
"Tiệm bánh kem quen thuộc của gia đình mình, mỗi khi ăn bánh kem đều mua ở đây Bánh có lớp kem béo béo ko quá ngọt, lớp bánh bong lan xốp bên trong mịn, ngon. Phù hợp khẩu vị gia đình, ủng hộ tiệm lâu dài ❤",0,0,0,5,0,5,0.0,0.0,0.0,5.0,0.0,0.0,mua_sam 
"Big C này có tất cả mọi thứ, nhưng Nếu bạn đang đi xe máy hoặc lái ô tô, chúng tôi rất mất thời gian để đậu.",0,0,0,0,0,4,0.0,0.0,0.0,0.0,2.0,0.0,di_chuyen mua_sam 
"Chợ Bến Thành, Sài Gòn là biểu tượng không thể quen thuộc hơn khi nói đến thành phố mang tên Bác. có hàng chục nơi để đi, hàng trăm điểm để khám phá, và hàng nghìn hoạt động chờ bạn tham gia. Tuy vậy, nếu chưa ghé chợ Bến Thành, một ngôi chợ sầm uất bậc nhất đồng thời là biểu tượng của thành phố, thì hành trình của của bạn vẫn chưa trọn vẹn đâu nha.

Trải qua hơn 100 năm tồn tại và phát triển, chợ Bến Thành không chỉ là nơi giao thương của thị dân mà còn trở thành điểm du lịch không thể bỏ qua khi đến Sài Gòn Từ kiến trúc độc đáo của ngôi chợ, những người bán hàng thân thiện, đến sự đa dạng của hàng hóa, khiến ai cũng muốn một lần ghé đến tham quan.",5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,giai_tri mua_sam 
"Nếu bạn đã được vận chuyển ở đây từ một số nơi khác, bạn có thể sẽ không có ý tưởng những gì đất nước bạn đã được trong ít hơn nhiều như thế nào để tìm cách của bạn xung quanh. Nơi này rất lớn. Tôi đi ăn kem chủ yếu và tôi thực sự thích đi lang thang quanh các trung tâm mua sắm và chỉ quan sát các cửa hàng. Nơi này có tất cả những gì tôi nghĩ. Bạn cũng có thể nhìn thấy nó cho một khoảng cách khá để không có cơ hội để bỏ lỡ nó.",0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,mua_sam 
phòng bi a hơi nóng vì chắc lâu ko ai lên chơi nên ko được chăm chuat,0,0,0,2,0,0,0.0,2.0,0.0,0.0,0.0,0.0,luu_tru an_uong 
Một nơi tuyệt vời cho một món ăn nhẹ hoặc salad ngon với giá cả hợp lý. Dịch vụ nhanh . Thức ăn ngon. Đơn giản nhưng mong đợi. Sân thượng ấm cúng đẹp,4,0,4,4,0,0,0.0,0.0,5.0,5.0,0.0,0.0,giai_tri 
"Mình đến vào lúc giữa trưa nóng, không có ai luôn, nhưng nhân viên vẫn rất nhiệt tình, giá cả hợp lý, chỗ ngồi đẹp, trang trí rất xinh xắn, 
nằm trên bãi biển, có thêm cả xích đu, võng để các bạn trẻ sống áo. Chắc chắn sẽ quay lại đây lần sau tới Quy Nhơn",5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,giai_tri 
"Món salad ngon, sốt cay vừa miệng, phần full topping rất nhiều, rau tươi, mè rang thơm lừng, cá hồi cay vừa và tươi , giá cả phù hợp, 3 người chỉ gọi 2 phần là no. Nhân viên dễ thương, nhiệt tình, view đẹp. Xứng đáng được 5 sao (y)",5,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,giai_tri 
"nhà hàng ocean palace cao cấp ăn ngon ,nhân viên nhiệt tình .phong cach cao cap .mà nhìn tới cái bàn vá lỗ là mất cảm tình.nhiều món ngon phải đợi hơi lâu",0,0,3,0,0,0,0.0,0.0,4.0,5.0,0.0,0.0,an_uong 
"Vị trí gần trung tâm,gần biển,đi lại rất thuận tiện,phòng sạch đẹp và rất mới,nhân viên nhiệt tình và tạo điều kiện tối đa cho khách.nói chung mình cực kỳ ung ý.lần sau ghé Nha Trang chắc chắn sẽ quay lại đây ở",0,5,5,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,nha_hang 
Rất thích. Chắc chắn sẽ ghé lại khi đến Nha Trang,5,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,giai_tri luu_tru nha_hang 
Bể bơi tầng 7 nước hơi bẩn và 3 ngày ko thay.,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,luu_tru 
"Giữ xe hách dịnh, khách để xe sát bậc thềm thì quản lý ra đôi co chỉ chỏ (mặc dù không có biển cấm để, xe nhân viên vẫn để sát bên), nhân viên thu ngân thì không giải thích chương trình khuyến mãi, kẹo đường khuyến mãi cho trẻ em thì kêu máy hư khởi động lâu...dù khách hàng lâu năm Vinmart nhưng quá thất vọng",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,giai_tri mua_sam 
"Mình và bạn mình lần đầu tiên đến đây và cảm thấy rất hài lòng với quán. Từ các bạn nhân viên tới chủ quán. Thật tuyệt vời khi được thưởng thức một đêm đúng nghĩa theo tiếng nhạc ở đây. Không gian mở, mọi người gọi đồ uống và thoải mái thư giãn. Cảm ơn đã dành cho tụi mình nhiều sự quan tâm tới vậy nha @tommy. I will get backkkkk",0,0,0,5,0,0,5.0,0.0,0.0,5.0,0.0,0.0,giai_tri 
Rất hiện đại nhưng cay.,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,an_uong 
"Tôi đã ghé thăm Foodshop 45 trong nhiều năm và chưa bao giờ phải thất vọng. Ngồi ngay bên Hồ Trúc xinh đẹp và nổi tiếng, nơi John McCain bị bắn hạ, bạn có một tầm nhìn tuyệt vời, một bầu không khí tuyệt vời và một đội ngũ nhân viên yên tĩnh nhưng chu đáo. Các món ăn được đầu bếp Việt Nam chế biến 100% theo bối cảnh và phong cách Ấn Độ. Có nhiều nhà hàng Ấn Độ ở Hà Nội, có vẻ chính thống hơn, bởi vì họ là người Ấn Độ quản lý. Tuy nhiên, đã thử tất cả chúng, tôi vẫn quay trở lại nơi ám ảnh cũ của mình, Foodshop 45",0,0,4,4,0,0,5.0,0.0,4.0,4.0,0.0,0.0,giai_tri 
"Quán ăn ngon, sạch sẽ, nhân viên vui vẻ, giá rẽ hơn so với thực tế, có dịp sẽ đến thưởng thức tiếp.
Trãi nghiệm cùng : Du lịch thực tế - Ẩm thực địa phương.",0,0,0,5,0,0,5.0,0.0,5.0,5.0,0.0,0.0,giai_tri nha_hang 
"Thái độ phục vụ của nhân viên chán Quán chỉ phục vụ tầng dưới, không phục vụ tầng trên Hoặc là do mình đi ban ngày hay k đúng ngày nên k phục vụ sao? Đồ uống ổn, mình uống cacao kem... Coi review rồi voi thử thì mình khá thất vọng, hì Dù sao đồ uống cũng ổn là vui rồi...",0,0,1,2,0,0,0.0,0.0,0.0,2.0,0.0,0.0,nha_hang 
Hòn khô là du lịch qua đảo ăn uống chụp hình thôi chẳng có gi đặc biệt.ai coi tiktok nhiều tàn bị lừa như mình vô hơi thất vọng ko như tưởng.vô thì kèo néo khách đi qua đảo để ăn nhà bè giá cao với lấy phí chở đi 100k nguời lớn là chủ yếu.còn đi vô quán cafe co co gì đo củng vậy tới ngay đường cục nhìn quán thất vọng quẹo ra.nói chung ko như là mơ titok review ảo.ở đây nên học theo bình hưng ai qua bè nào ăn thì chở qua miễn phí đã ăn rồi thì nên free chở qua vì củng khá gần.,2,0,0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,giai_tri di_chuyen 
Người lái xe đến sớm để đợi tôi. Tôi yên tâm rằng tôi sẽ được đưa đến khách sạn của tôi ở nước ngoài.,5,0,0,0,0,0,5.0,0.0,0.0,0.0,5.0,0.0,di_chuyen 
"Tôi đã đợi một lúc cho đến khi họ đến để hỏi tôi xem có gì sai với thức ăn không. Tôi lặp lại những gì tôi đã nói, rằng tôi đang đợi món cá mập nướng của mình.",1,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,giai_tri an_uong 
"Có rặn san hô đẹp, Nước biển trong xanh, ngồi thuyền bè thưởng thức đồ biển rất tuyệt, giá ra hòn khô cũng vừa pải với một nơi du lích. Có điều là phòng thay đồ rất ít và ko có nước ngọt tắm lại
",5,3,0,0,0,0,4.0,0.0,0.0,4.0,0.0,0.0,luu_tru an_uong 
Nhân viên nói chuyện với khách kiểu côn đồ. Lễ tân làm 1 giá lên nhân viên ép giá lên x4 minh k đồng ý thì làm khùng làm đien lên. Tiền mất tật mang,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,luu_tru mua_sam 
"Rất hiếu khách và rất vui tư vấn tận tình và giúp khác chon đồ tốt
",0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,5.0,an_uong mua_sam 
"Tôi sẽ quay lại nơi này. Một nơi nghỉ dưỡng yên tĩnh, bãi biển rất đẹp và sạch sẽ, nhân viên phục vụ thân thiện, lần sau quay lại tôi sẽ sử dụng dịch vụ spa. Ăn sáng chưa phong phú lắm, tôi thích món bún cá buổi sáng ở đây.",5,5,0,4,0,0,4.0,0.0,0.0,0.0,0.0,0.0,luu_tru an_uong 
"Quán đẹp, hải sản ở đây khá ngon , đúng vị biển, tôm mực tươi ăn rất ngon luôn, giá cả lại quá hợp lí so với các nhà hàng hải sản trên thành phố, Nhân viên phục vụ rất nhanh nhẹn, dễ thương, thân thiện, phục vụ khá nhanh , món ra nhanh khi đông khách hay vắng khách đều vậy luôn, nhân viên rất lịch sự. Cửa hàng đẹp sáng sủa, trang trí hiện đại , đến rồi muốn đến hoài hoài. Chất lượng món ăn thì quá đạt chuẩn luôn. Nhất định sẽ đến lại nữa , ngon quá mà",0,0,5,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,nha_hang 
"Công viên thiếu nhi mà toàn thấy người lớn.
Ban đêm rất mát, có nhiều hàng quán ăn vặt giá rất rẻ.
Buổi chiều sau 17:00 dân địa phương đổ ra đây tắm biển rất đông, không có dịch vụ trông xe mà cứ để xe trên bờ rồi đi bộ xuống thôi. Bãi cát phẳng và mịn.
Bãi biển rất sạch, không có kinh doanh dù, hàng rong, bán dạo... hy vọng thành phố Quy Nhơn tiếp tục phát huy và giữ môi trường sạch như hiện tại.",3,0,0,0,2,0,4.0,0.0,0.0,4.0,0.0,0.0,an_uong di_chuyen 
Đây là nơi thích hợp để bạn bè và gia đình tụ họp sau 1 ngày làm việc.,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,luu_tru 
"Thức ăn thật tuyệt vời và có một cái nhìn trong nhà bếp, nó không có mùi vị và bia lạnh mà không bình thường ở Việt Nam? Nó cũng có bia trên vòi. Một trong những chủ sở hữu có tên Docker không thể thân thiện hơn khi chăm sóc nhóm 8 chúng tôi không thể làm đủ cho chúng tôi. Docker đã cho chúng tôi một cái nhìn sâu sắc về cuộc sống Việt Nam và đề xuất một số khu vực tuyệt vời để tham quan - những bãi biển và làng quê xinh đẹp và một nơi được gọi là cuộc sống là một bãi biển. Thanh tra lại một vài lần vì chúng tôi rất thích nó.",0,0,0,5,5,0,0.0,0.0,0.0,5.0,0.0,0.0,di_chuyen 
