Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_rate
"nhất định lần sau mình sẽ quay lại vì dịch vụ & tay nghề các bạn khá tốt !
",4,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,
"Đánh giá 1 sao cho rạp chiếu phim starlight, hôm mình đi xem phim tối mồng 6 tết rạp 1, màn hình coi mà nhòe ánh sáng xanh, đã reset màn hình lại trong lúc đang xem nhưng vẫn k hết. Lần đầu xem cũng như lần cuối :)",1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,"giai_tri((1, 2.0)),"
"Chúng tôi đến đây hai lần liên tiếp, vì chúng tôi yêu thích mì ống tự làm, salad Caesar và gà Parmesan.",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Tài xế chở khách từ Khách sạn Trầu Cau về đường Tô Hiến Thành khoảng 20h ngày 16/6/2022 nói năng với khách thiếu lịch sự, cự cãi với khách suốt dọc đường. Sẽ ko bao giờ sử dụng dịch vụ của Mai Linh nữa.
",0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,
"Không vào ăn vì ăn sáng rồi, thấy người cùng đoàn vào ăn nói ăn không ngon, có thể do không hợp khẩu vị, giá hơi đắt, 25k/đĩa mà được có xíu bánh bằng quả trứng vịt, phải 2 đĩa mới đủ ăn
",0,0,0,2,0,0,0.0,0.0,0.0,2.0,0.0,0.0,
"Tôi đã thuê 8 xe máy ở đây vào buổi tối hôm trước, phải nói là làm việc rất chuyên nghiệp và uy tín
",0,0,0,0,5,0,0.0,0.0,0.0,0.0,5.0,0.0,
"Thấy ra các chỗ về sushi thì vẫn thấy đây là ổn nhất vì quy nhơn chỉ có mỗi quán này là bán đồ ăn nhật chứ mấy 😆😆😆, giá cũng ko phải mắc mà chất lượng. quán cũng lai rai khách Vẫn các món hay ăn, sashsimi, cá hồi, đầu cá hồi nướng, hào tái chanh, món ăn ok, lên hơi chậm tý cũng thông cảm",0,0,4,4,0,0,0.0,0.0,4.0,4.0,0.0,0.0,
"Phòng thoáng, sạch sẽ, nhân viên tận tình",0,5,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,
"Sân bay có thiết kế không gian khá đẹp, khách ít nên mọi tiện nghi điều ổn. Ai tùng đi nhiều sân bay ở Viêt Nam sẽ biết, gần như Sân Bay Phù Cát là đẹp nhất Việt Nam. nó đẹp không phải vì to lớn hay đông đúc, mà nó đẹp bởi khiến trúc rất hiện đại, đẹp mắt, rất nhiều không gian cho việc trang trí. Khác hẳn với sân bay Cam Ranh, cũng là một sân bay tầm cở và mới xây nhưng chả có gì đăc sắc hết, họ sử dụng không gian chủ yếu cho việc quảng cáo và mua bán haiz
",0,0,0,0,3,0,0.0,0.0,0.0,0.0,3.0,0.0,
Một tiệm dessert nhỏ nhưng lúc nào cũng khá đông mình đến 2 lần rồi. Phục vụ nhiệt tình. Bánh bông lan trứng muối và chè khúc bạch ở đây là 2 món mình có thể ăn hoài ko ngán.,0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Lần đầu đến Bình Định mình cũng nhờ foody để tìm quán ăn. Vô tình đi ngang quán này nên ghé vào thử. Quán khá rộng, đẹp và thoáng nữa. Quán có kem tự chọn giống i love kem ở Sài Gòn giá lúc mình ăn là 23.000 đồng /100 gram. Có nhiều vị để chọn. Thích nhất vị dừa và chanh dây. Ngoài ra quán còn nhiều thức uống khác giá tương đối. Từ đây có thể đi bộ hoặc chạy ra bãi biển quy nhơn cách đó chừng 1km. Nếu có cơ hội đến quy nhơn hãy đến đây dùng thử nhé. Nhân viên dễ mến nữa nhé.",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Hải sản ở đây tươi sống. Nên đi vào buổi chiều lúc cá mực lên. Vô đây chỉ muốn mua hết chợ. Nhưng các gian bán hàng ở đây bán thách nên phải trả giá. Ghẹ lơn tầm 160 - 180k ghẹ nhở tầm 130k. Ốc móng tay 70k- 80k. Cua thịt từ 120k- 150k. Đó là những món mình hay mua, con nhưng món còn lại mình ko biết. ^^ Chúc ai ghé nơi đây có 1 hôm đi chợ thật thú vị.",0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,4.0,
"Cửa hàng có đầy đủ sản phẩm , giá mềm",0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,5.0,
"Khách sạn sạch sẽ nhân viên thân thiện , vị trí trong trung tâm nên đi lại rất thoải mái . Xung quanh ks có nhiều quán cf nhà hàng khu du lịch",0,5,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,
Decor đẹp. Và đây là lần thứ 2 mình book khach san này cho chuyến du lịch ở Đà Lạt.,0,5,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,
"Tới thành phố biển Quy Nhơn du lịch đi chơi chụp ảnh nhiều nên chân mình mỏi rã rời. search google thì may sao tìm thấy chỗ này. Cũng may mình đặt lịch trước không thì đến phải đợi . Chỗ này tối đông kín ghế, không gian thiết kế ổn, ấm áp,tone màu hợp với những đứa chuyên sống ảo như mình. Tay nghề của các bạn KTV khá ổn, chịu khó hỏi han khách cần gì và lễ phép. Giá tiền cho 1 lần massage chân là 200k/60p. Ở thành phố du lịch mà mức giá như vậy mình thấy rất hợp lý. Mọi sự mệt mỏi đều tan biến. Mình sẽ ghé lại khi có dịp du lịch Quy Nhơn tiếp.",5,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,
Siêu thị Big c... Bán đủ đồ.. Người làm việc.. Đuổi hết là vừa.. Mất lịch sự.. Làm việc không tận tình.. Khách hàng là.. Rác.. Sẽ không bao giờ trở lại...,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,
"Quán này nằm ở đường 31-3, gần ngay khu trung tâm thương mại An Phú Thịnh. Tuy nằm gần trung tâm thương mại lớn nhưng quán Bingo's lại ở một góc yên tĩnh, phải nhìn kĩ mới nhận ra. Không gian mát mẻ mà còn có cả máy lạnh nữa nên mùa hè thì Bingo cũng là một lựa chọn hợp lí đó. Quán thì nhỏ gọn, vài cái bàn, không ồn ào, cũng có những góc dễ thương. Đồ uống và bánh thì không chê được, mình dẫn bạn tới đây, ai cũng hài lòng. Tóm lại Bingo là địa chỉ đáng để ghé qua ^^",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Mình rất thích cách phục vụ ở nhà hàng Hoàng Thao, sạch sẽ, thoáng mát và phục vụ nhanh, đồ ăn tươi ngon mà giá lại mềm nữa.",0,0,5,5,0,0,0.0,0.0,5.0,5.0,0.0,0.0,
"Đây là nơi có dịch vụ tốt, các món ăn được chế biến từ hải sản rất ngon, và giá cả hợp lý. Chắc chắn tôi sẽ quay lại quán lần nữa nếu có dịp đến với Quy NHơn",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Đúng nghĩa ngon bổ rẻ, nửa kí ghẹ, 1 dĩa tôm nhảy, 1 dĩa ốc móng tay, 1dĩa ốc hương, cháo hải sản, bia = 485k , quá là ưng ý luôn @@",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
Sân bay nhỏ nhưng sắp xếp gọn gàng và hiện đại. Trên tầng 1 khá nhiều cửa hàng bán đặc sản Bình Định. Giá cả hợp lý.,0,0,0,0,4,4,0.0,0.0,0.0,0.0,4.0,4.0,
"Dich vu tot , lai xe nhiet tinh , vui ve ... biet cac quan an ngon va ban dia tai tp Quy Nhon
Tài xế thân thiện , đúng giờ đúng tuyến , cảm ơn dv phương khang car.
",0,0,0,0,4,0,0.0,0.0,0.0,0.0,5.0,0.0,"di_chuyen((4, 5.0)),"
Quả thật rất đẹp.phong cảnh hữu tình đến rồi mà chẳng muốn đi.cách bố trí thật sang trọng và lịch lãm.tuyệt,5,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,
"Tôi thấy toàn review tốt và rate 9.2 ngạc nhiên quá, có lẽ có tiểu xảo. Vợ chồng mình vào, tổng cộng có 1 bàn đang ăn, bên ngoài có khoảng 3 kí ngao, 2 kí sò lông, 4 con ghẹ, 2 con tôm hùm và 1 con cá song, còn lại không có gì. Nên đành ăn cơm trứng, thịt lơn với giá không hề rẻ. Ở đây so sánh nhanh tôm hùm bán 1,8 tr trong khi Hoàng Thao 1,3tr/kg. Quán cũng bình dân, được cái nhân viên tận tình.",0,0,0,1,0,0,0.0,0.0,0.0,5.0,0.0,0.0,"an_uong((1, 5.0)),"
"Trung tâm lớn đầu tiên ở quy nhơn bán đa dạng mặt hàng điện máy và điện lạnh. Trung tâm chỉ chưa làm website bán hàng bài bản nên ít có thông tin về sản phẩm cho người tiêu dùng xem trước trên mạng
",0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,3.0,
"Điểm đặc biệt khi ghé quán này là sợi bánh canh rất lạ kiểu như bánh cạn tươi làm từ máy mini mà hay làm ở nhà. Nước dùng ngọt thanh, lại có nhiều loại chả cá, ăn kèm lá hẹ nữa quá ô kê la mà 1 tô như này chỉ 15k. Ngon rẻ và quán lại rất sạch sẽ. 🤩",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Mèo vô tình đi ngang và tấp vào, quán không gian nhỏ nhưng đẹp, kết nhất bộ bàn ghế ngoài hè và thái độ phục vụ quán rất vui vẻ cởi mở, soda cherry ngon và giá cả hợp lí ! Mèo ưng quán này và sẽ ghé quài hihi :3",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"cần cải thiện bồn tắm, nắp xả nước hay bị tắc, khó xả nước",0,2,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,
"Mình và bạn đi ngày tết nên giá bao gồm phụ thu. quán đông mà chỉ có 1 nhân viên chạy bàn nên cái gì gọi cũng đợi rất lâu. Nhóm mình phải tự dọn tô đũa, lau bàn rồi lấy khăn giấy...Nước lèo hơi mặn, mỳ sợi dai ngon, có điều ít rau nên nhìn hơi thảm",0,0,0,3,0,0,0.0,0.0,0.0,3.0,0.0,0.0,
Gọi đồ xong lúc 7h15 đến 8h35 mới lên món. Lẽ ra quán đông khách thì phải không nhận nướng cá mà gợi ý khách dùng cá hấp cho nhanh. Nấu khá ngon nhưng vẫn không ăn ở đây nữa vì ăn một bữa hết buổi tối.,0,0,0,2,0,0,0.0,0.0,0.0,2.0,0.0,0.0,
"Quán có không gian nhỏ nhưng ấm cúng , trời lạnh mà đến đây ngồi nhìn mưa rơi thì lãng mạn phết . Quán không dành cho những bạn thích ồn ào và thích sống ảo . Những ai cần không gian yên tĩnh và nhẹ nhàng thì nên đến đây . Đồ uống của quán khá ổn , mọi thứ đều hài hoà . Giá cả hợp lí chỉ từ 15k đến 25k cho một ly . Mình cực thích trà xanh đá xay ở đây , đậm vị trà và kem cũng khá ngon . Quán còn có voucher giảm giá 20% tặng cho khách nữa . Chắc chắn sẽ quay lại đây",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Chúng tôi được cung cấp một chiếc xe lớn, thoải mái và hướng dẫn viên của chúng tôi, Tin, 
rất trò chuyện và hiểu biết. Nó vượt quá sự mong đợi của chúng tôi và họ đã thả chúng tôi xuống sân bay với nhiều thời gian rảnh rỗi.",5,0,0,0,5,0,5.0,0.0,0.0,0.0,4.0,0.0,"di_chuyen((5, 4.0)),"
"Nhân viên nhiệt tình, giày với quần áo VNXK chất lượng , sẽ dùng sản phẩm shop lâu dài",0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,5.0,
"Tài xế vui tính quá và rất nhiệt tình, chụp cho chúng tôi album rất đẹp mà còn không tính phí. cảm ơn bác tài nhé ....
",0,0,0,0,4,0,0.0,0.0,0.0,0.0,5.0,0.0,"di_chuyen((4, 5.0)),"
"Nhà xe lừa rạt, đặt xe giờng phòng 450k tới nơi đi xe giường nằm phải trả 400k mà không được thông báo trước",0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,0.0,"di_chuyen((1, 2.0)),"
"Chất lượng xe rất tốt, giá cả hợp lý. Các bạn giao xe rất thân thiện nhiệt tình, xe thì êm, mượt, không lỗi lầm gì. Thủ tục nhanh, gọn .Sẽ ủng hộ và giới thiệu bạn bè sử dụng dịch vụ tại đây.
",0,0,0,0,4,0,0.0,0.0,0.0,0.0,5.0,0.0,"di_chuyen((4, 5.0)),"
"Chợ ở trung tâm thành phố, có rất nhiều mặt hàng, hải sản tươi sống
",0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,4.0,"mua_sam((3, 4.0)),"
cung cách làm việc của bảo vệ rất tệ . có người không đeo khẩu trang cũng dc vào .ngưới thì đuổi ra  không được vào là như thế nào. đề nghị siêu thị coi lại quá trình này . như thế này là quá tệ.,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,
"Quán này gần nhà, không gian quán cũng trang trí đơn giản, order tính tiền tại quầy, giá rẻ đó, khoản tầm 20k/ly, trà sữa mình uống thấy ổn nhưng trà đào chưa oki lắm, món váng sữa uống oki không quá ngọt, vị béo và mịn, Nhân viên oki nha, cần gì thì nhiệt tình lắm.",0,0,0,4,0,0,0.0,0.0,0.0,4.0,0.0,0.0,
"Lần nào đến siêu thị cũng bị bắt bỏ túi đeo mini bên ngoài quày, túi nhỏ đựng đt, ví tiền rất là bất tiện.",0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,2.0,
Đầy đủ tiện nghi. Mình đi hai người book phòng đôi. Ở sạch sẽ như ở nhà vậy. Rất thích.,0,5,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,
Vì mình đang đói và ăn vội nên không có chụp được hình nào,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
"Quán có vị trí khá dễ tìm, kiểu phong cách hơi tây tây. Bước vào quán nhân viên chào hỏi nhiệt tình. Quán có khá nhiều không gian nhưng mỗi không gian hơi nhỏ. Quán này nổi tiếng nhờ cái view hành lang nhìn ra bên ngoài ( nơi sống ảo xuất sắc ). Được thêm cách trang trí cũng xinh xinh, mình thích nhất là mấy cái bàn ở đâu, ốp gạch lên nhìn hoài cổ . Nhưng điểm trừ to đùng là đồ uống , quá tệ, kêu ly capuchino mình nhìn thôi chứ uống k nổi. Chấm 7 điểm cho quán",0,0,0,4,0,0,0.0,0.0,0.0,3.0,0.0,0.0,"an_uong((4, 3.0)),"
"Mua cải bó sôi k có, nhiều loại rau để lên bảng nhưng k có",0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,2.0,"mua_sam((3, 2.0)),"
"Đến quán vào tối chủ nhật, quán khá đông lên gọi món hơi lâu. Các món chế biến ngon, xôi gà chiên trẻ con rất thích. Giá cả hợp lý, nhân viên nhiệt tình.",0,0,0,4,0,0,0.0,0.0,0.0,5.0,0.0,0.0,"an_uong((4, 5.0)),"
"Quán này đã trở lại và lợi hại hơn xưa 👌🏻👌🏻👌🏻. Mình ăn từ lúc quán còn ở địa chỉ cũ, nay quán đã dời về địa chỉ mới rồi nhìn sáng sủa, thoáng mát và trang trí cũng đẹp lắm. * Ưu điểm: hương vị 100% vẫn như xưa. Miếng khúc bạch dẻo mềm, ngậy tan trong miệng đúng chuẩn khúc bạch. Quán này đặc biệt dùng nhãn tươi để làm nước chè nên vị rất thanh mát và nhãn rất giòn sật nữa, ăn rất đã miệng á 😆😆😆. À nay mùa sầu riêng, quán còn làm thêm khúc bạch sầu riêng nữa , ăn bên trong vẫn còn thịt sầu riêng tươi luôn, ăn thơm lắm lận. Giá vẫn 15k/ chén bao chất lượng luôn, mùa này ăn là hết sẩy con bà bảy 🤣🤣. Bánh ngọt tuy ít loại nhưng mình thấy vị rất ổn, thích nhất cốt bánh ở đây làm rất mềm ăn tan vị với phần kem ngon lắm, ko như những quán khác ăn cốt rất cứng làm cảm giác mất ngon. Ngoài ra quán còn có tokboki, trà đào, trà sữa mà chắc để hôm khác thử hihi. * Nhược điểm: hôm mình đi quán hơi đông nên phục vụ hơi chậm, nhưng cái này có thể bỏ qua đc vì quán phục vụ cũng rất nhiệt tình và vì đồ ăn ngon nên có thể bỏ qua hehe.",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Không gian thoáng mát, nhưng tài xế taxi chèo kéo nhiều, mất thẩm mỹ
",0,0,0,0,3,0,0.0,0.0,0.0,0.0,2.0,0.0,"di_chuyen((3, 2.0)),"
"Sân bay Phù Cát mới xây mới lại cảng hành khách, hiện đại, đẹp. Chúc mừng thành phố Quy Nhơn. 20 năm trở lại
",0,0,0,0,4,0,0.0,0.0,0.0,0.0,4.0,0.0,
"Dịch vụ tạm ổn với sân bay quốc nội, tuy nhiên với tiền năng phát triển du lịch và kinh tế thì cần phải nâng cấp lên thành sân bay quốc tế mới xứng tầm.",0,0,0,0,3,0,0.0,0.0,0.0,0.0,3.0,0.0,
"anh lễ tân dễ thương, phòng sạch sẽ, gần trung tâm, giá tốt nói chung là rất đáng trải nghiệm.",0,4,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,"luu_tru((4, 5.0)),"
"Một địa điểm hay cho các bạn học sinh thăm quan để hiểu sâu hơn giữa lý thuyết và thực tế các môn học
",5,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,"giai_tri((5, 4.0)),"
"Đã đặt bữa sáng theo set banh mi x4 với cà phê miễn phí. Thỏa thuận có vẻ tốt. Chúng tôi gọi 2 trong số các loại cà phê trước, sau đó gọi thêm 1 loại sau đó khoảng 15 phút. Thật không may, bánh misa hoàn toàn nhạt nhẽo về hương vị. Khi chúng tôi đến thanh toán, họ tính thêm tiền cho 1 ly cà phê. Giải thích của họ là nó chỉ được bao gồm nếu bạn đặt hàng tất cả cùng một lúc. Lố bịch.",0,0,0,2,0,0,0.0,0.0,0.0,2.0,0.0,0.0,
"Người lái xe đã ở đó ở sân bay chờ đợi. sẽ không cho phép tôi mang theo trường hợp của mình. Lịch sự và trò chuyện đã chỉ ra các
 địa danh khác nhau trên đường đến khách sạn cho chúng tôi biết về lịch sử. Tôi đã rất ấn tượng.",5,0,0,0,5,0,5.0,0.0,0.0,0.0,5.0,0.0,
"Kem Bảo Vân nằm ở con đường ẩm thực nổi tiếng nhất nhì Quy Nhơn-khu ẩm thực Ngô Văn Sở-Trần Độc. Mình tới đây hầu như lúc nào cũng chỉ gọi một món duy nhất là kem kí :))) Kem kí ở đây nhiều vị lắm nè: sầu riêng, bạc hà, dâu, dừa, socola, khoai môn...vị nào cũng ngon, mà còn được kèm thêm các topping hấp dẫn như mứt trái cây, đậu phộng rang nữa. Mùa hè nóng bức, mình lập kèo đi ăn kem kí nè, cả hội kêu một dĩa nửa kí rồi rưới cafe lên trên, cắn thêm miếng bánh ốc quế giòn rụm nữa. Cảm giác thật yomost :""> Nếu đi 2-3 người thì kêu dĩa nửa kí là được, 1 dĩa kem nửa kí ngon lành chỉ có 26k thôi. À mà quán không chỉ có mỗi kem kí đâu nha, còn có cả bánh tráng trộn, kem cuộn, chả nướng... nữa. Nếu muốn tìm 1 địa chỉ ăn vặt tổng hợp nhiều món thì Bảo Vân là lựa chọn không tồi đâu ạ ^^",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Nhân viên phim láo toét, dám đuổi khách.  Phim có after credit nhưng bảo không có, mời anh ra để bọn em dọn. Mình ngồi lỳ thì tỏ vẻ khó chịu. Khi có after credit thì mới há mồm ra, chắc là các suất trước đều bảo vậy để khách về",1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,
"Nam Lễ Tân thì vui vẻ , nhưng hướng dẫn đỗ xe ko chuẩn , và một người khác có vẻ như là nhân viên trực đêm ,có cách hướng dẫn thiếu thân thiện khi khách đậu đỗ chưa chuẩn ( thực chất là đậu theo sự hướng dẫn của bạn lễ tân nam trước đó ) , mỗi người 1 cách hướng dẫn . Rất bất tiện vì ko có chỗ để xe , tuy nhiên điều đó được thể hiện qua booking rồi nên đó không là điểm trừ.",0,3,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,"luu_tru((3, 2.0)),"
"Được người quen giới thiệu nên mình đã rủ bạn bè tới thưởng thức. Ấn tượng đầu tiên là quán sạch sẽ, thoáng mát. Rất nhanh thôi, tụi mình đã được phục vụ những tô bánh canh thơm phức trên bàn ăn. Phải nói là sợi bánh canh rất lạ miệng mà mình chưa từng được thử qua, nước lèo ngọt thanh, cá ngừ rất tươi, lại có thêm chả cá, trứng cúc nữa. Điều mình thích nhất đó là mùi vị thơm thơm, béo béo của hẹ và hành phi, nhắc tới là thèm rồi. Nhất định sẽ thường xuyên ủng hộ quán.",0,0,0,5,0,0,0.0,0.0,0.0,5.0,0.0,0.0,
"Đồ ăn được, ốc tươi
Cà na hôm nay mình ăn hơi nhỏ khui mệt 😅
Nước chấm hơi mặn
Nói chung là ổn thôi chớ hok có xuất sắc 😁
Được cái giá cũng hợp lý, ko mắc ko rẻ",0,0,0,4,0,0,0.0,0.0,0.0,4.0,0.0,0.0,
"Đặt chân tới quy nhơn là được công ty dẫn qua nhà hàng để ăn rồi do đi tới đây là tầm trưa rồi nên vào đây ăn luôn, đồ ăn của nhà hàng bắt mắt và hấp dẫn lắm luôn nha nhìn màu sắc cực kỳ ưng luôn ấy chứ, món nào món nấy nhìn mà muốn ăn liền, tôm thẻ ram ăn khá là ngon được bóc vỏ ra sẵn hết rồi nên ăn khá là ngon và tiện lợi, có món thịt thì làm mình thấy có vẻ nó hơi nhạt tý ướp không được tới lắm nên ăn với cơm nó nhạt hẵn ra",0,0,4,3,0,0,0.0,0.0,5.0,5.0,0.0,0.0,"nha_hang((4, 5.0)),an_uong((3, 5.0)),"
"Không gian đậm mùi biển, người dân cũng chất phác, dễ gần. Tuy chưa cung cấp nhiều tiện ích cho du khách hay vẫn còn thiếu chuyên nghiệp trong phục vụ nhưng sự hoang sơ nơi này đã lôi cuốn nhiều du khách. Kể từ khi khu vực được định hướng phát triển du lịch, dịch vụ thì nơi đây thay đổi từng ngày. Hi vọng lần sau có dịp tới đây sẽ có thêm những khám phá mới !",4,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,
Hơi khó tìm địa chỉ một chút,0,3,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,
