index,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam,pred_giai_tri,pred_luu_tru,pred_nha_hang,pred_an_uong,pred_di_chuyen,pred_mua_sam,error_type
77,"Thái độ của bạn phục vụ vô cùng bất lịch sự, confirm món ăn mà nạt vô mặt khách. Từ quản lý cho đến nhân viên đều có thái độ bất lịch sự. Đem đồ ăn ra để lên bàn 1 cái đùng rồi quay đi. Khi kêu tính tiền, thì không ai đáp. Mình phải gọi 3 lần thì bạn nv mới hất hất đầu. Cảm giác là mình đi xin ăn chứ không phải là đến ăn trả tiền (giá đồ ăn cũng không rẻ).Quá thất vọng, không bao giờ quay lại.",0,0,1,0,0,0,0,0,0,1,0,0,nha_hang an_uong 
82,Tôi đã sử dụng dịch vụ này 3 lần và họ luôn đến đúng giờ và rất sẵn sàng với những thay đổi. Dịch vụ tuyệt vời! sẽ sử dụng chúng một lần nữa.,0,0,0,0,5,0,0,0,0,0,0,0,di_chuyen 
84,"Tôi đã đặt một bàn ăn tối cho tôi và đối tác kinh doanh ở ban công để chúng tôi có thể thưởng thức rượu và xì gà. Khi chúng tôi đến (đúng giờ), chúng tôi phát hiện ra rằng nhà hàng không cho phép hút thuốc ở các bàn ban công. Chúng tôi đã kiểm tra lại với nhân viên phục vụ (rất nhẹ nhàng và lịch sự) và chúng tôi quyết định rời đi vì không hút thuốc. Chúng tôi xuống tầng dưới để giải thích cho chủ sở hữu lý do tại sao chúng tôi rời đi. Chủ sở hữu người Ý nói với chúng tôi: ""Vậy là bạn sẽ rời đi?"" Tôi nói: ""vâng, xin lỗi nhưng tôi nghĩ chúng tôi có thể hút thuốc ở ban công"". Sau đó, anh ấy nói ""làm ơn đi và bạn không cần phải quay lại đây"". Tôi đã hỏi tại sao"". Anh ấy nói: ""Đối với những khách hàng như bạn, chúng tôi không cần"".",0,0,1,0,0,0,0,0,2,3,0,0,an_uong 
91,"Ở đây kết hợp mua sắm vui chơi, hàng hoá đa dạng,  đồ nấu sẵn nhiều thứ lựa chọn",4,0,0,0,0,4,0,0,0,0,0,5,giai_tri 
118,Người lái xe đã đợi chúng tôi với một tấm biển khi chúng tôi đến bên ngoài sân bay. Anh ấy rất hữu ích với túi xách của chúng tôi và rất lịch sự.,0,0,0,0,5,0,5,0,0,0,5,0,giai_tri 
123,"Chuyến đi tuyệt vời, điểm tham quan tuyệt vời, công ty tuyệt vời & hướng dẫn viên du lịch rất tốt 'phat boy', 
người rất kiên nhẫn và dễ nói chuyện ... anh ấy sẽ đưa bạn đến tất cả những nơi tốt nhất để ăn! Tôi thật sự đề nghị tua du lịch này !!",5,0,0,0,0,0,5,0,0,5,0,0,an_uong 
128,"Khuyên mọi người đi nên book tour khi ra ngoài kì co eo gió theo lịch trình bên nhà hàng sẽ tiện hơn và tiết kiệm chi phí.Giá 350k / người ( gồm cano, hướng dẫn địa phương, ăn trưa theo tour, vé vào cổng Kỳ Co, Eo gió, áo phao vs kính lặn ạ).Nhưng khi đi lặn ngắm san hô thì hơi bất tiện vì không được xuống ngắm vì hòn sẹo sâu khi xuống cần có nv theo thì phải thuê bình oxi 500k 600k gì đó.Còn leo thuyền thúng để xem thì 50k / ng chèo chèo vài cái rồi vào.( ai chưa thấy san hô nên đi thuyền thúng ngắm cái vào còn ai lặn ngắm rồi k nên đi tốn tiền phí ).Về ăn uống nhà hàng bảo nam tạm ổn có các món như hình , nhân viên dễ thương , xe đưa đón và thuyền cũng ok.Giá rẻ.Khuyên nên đi bên này",0,0,5,5,0,0,4,0,4,4,0,0,giai_tri 
136,"Xanh, sạch, đẹp, không rác thải. Con người thân thiện. Ẩm thực đa dạng",5,0,0,0,0,0,5,0,0,4,0,0,an_uong 
140,"Nhân viên không chuyên nghiệp, lấy ví của khách !
",0,1,0,0,0,0,0,0,0,0,0,0,luu_tru 
141,"View rất rất đẹp nha mọi người mọi người chụp hình hoàng hôn nên tới đây nha view đẹp, thoáng, mát!!! Đây là first option của mình nếu muốn đi rooftop bar",4,0,0,0,0,0,5,5,0,0,0,0,luu_tru 
147,"Vừa rồi con mình đám cưới đặt trầu cau và mâm quả bên tinh hoa làm rất đẹp :) ngoài bánh kem thì đông sương , hay bánh su ở tinh hoa gia đình mình rất thích ăn . Góp ý tinh hoa là nhiều khi đông khách nên có lộn chút xí . Nhưng chất lượng rất oke .",0,0,0,5,0,5,0,0,0,5,0,0,mua_sam 
150,"Các bạn đi du lịch nên mua hải sản ở đây, nơi đây tập trung đủ loại hải sản tươi ngon với giá cả phải chăng
",0,0,0,5,0,0,0,0,0,0,0,5,an_uong mua_sam 
152,"Bình Định - Điểm du lịch đang nổi và thu hút rất nhiều khách du lịch trong giai đoạn gần đây. Sân bay Phù Cát mới được xây dựng trong năm 2018 nhằm đáp ứng lượng du khách đổ về ngày một đông. Với lối thiết kế không gian tuyệt vời, mới, hiện đại, đây là một địa điểm check in sống ảo cũng rất lý tưởng. Vote 5 sao cho 1 sân bay mới trên quê hương mình.
",0,0,0,0,5,0,5,0,0,0,5,0,giai_tri 
155,"Vị trí ngay biển, view ổn nhưng nước uống không thật sự ngon. Mình đánh giá chỉ ở mức trung bình. Nhân viên rất năng động",5,0,0,3,0,0,0,0,0,3,0,0,giai_tri 
185,"đi du lịch trãi nghiệm mà chưa đến làng chài Nhơn Lý thì thật đáng tiếc mọi người nhé! Đồ ăn tươi ngon, rẻ. Dịch vụ homestay rất ok. Mấy quán café view xịn xò.",4,4,0,4,0,0,0,0,0,5,0,0,giai_tri luu_tru 
188,Giá thành hạt rẻ mà vị trí rất tiện luôn ạ. vì rẻ nên mình k nghĩ là có view biển. ncl rất ưng ý,0,5,0,0,0,0,0,0,0,0,0,0,luu_tru 
201,"Đây là nơi tốt nhất cho pizza ở Quy Nhơn. Bên cạnh đó, món ăn Việt Nam cũng rất ngon, đặc biệt là bánh kếp và hải sản tươi sống. 
Thậm chí nó nói khu nghỉ mát 4 sao nhưng giá cả cũng giống như một nhà hàng địa phương tốt trong thành phố",0,0,5,5,0,0,0,0,0,5,0,0,nha_hang 
212,"Chúng tôi đã ở Nhật Bản năm ngoái và bữa ăn tối nay chúng tôi sẽ tốn nhiều tiền hơn ở đó. Chúng tôi không thể lỗi bữa ăn mọi thứ đều đúng, 
các nhân viên trẻ và nhiệt tình, môi trường xung quanh là tốt. Nếu bạn ở Quy bào và thích món ăn Nhật thì không thể bỏ qua Namsushi. Một thức ăn thực sự tuyệt vời.",0,0,0,5,0,0,0,0,5,5,0,0,nha_hang 
213,Hòn khô là du lịch qua đảo ăn uống chụp hình thôi chẳng có gi đặc biệt.ai coi tiktok nhiều tàn bị lừa như mình vô hơi thất vọng ko như tưởng.vô thì kèo néo khách đi qua đảo để ăn nhà bè giá cao với lấy phí chở đi 100k nguời lớn là chủ yếu.còn đi vô quán cafe co co gì đo củng vậy tới ngay đường cục nhìn quán thất vọng quẹo ra.nói chung ko như là mơ titok review ảo.ở đây nên học theo bình hưng ai qua bè nào ăn thì chở qua miễn phí đã ăn rồi thì nên free chở qua vì củng khá gần.,2,0,0,2,2,0,0,0,0,1,0,0,giai_tri di_chuyen 
216,"Đường nhỏ, ko có chỗ đậu xe 16 chỗ",0,0,0,0,2,0,0,2,0,0,2,0,luu_tru 
226,"Đây không phải là cách bạn tiến hành trong những trường hợp như vậy. Vì vậy, sai từ quan điểm dịch vụ khách hàng.",1,0,0,0,0,0,0,0,0,0,0,0,giai_tri 
238,"View thành phố đẹp, đi lại tiện lợi, xe máy cho thuê mới",0,5,0,0,4,0,0,4,0,0,0,0,di_chuyen 
255,"Bữa sáng k phong phú mấy, ít đồ ăn. tầm 8h30 là hết đồ. đồ ăn bình thường . điều hòa phòng mình k mát mấy, mình phải nhờ lễ tân lấy thêm quạt.",0,2,0,2,0,0,0,0,0,2,0,0,luu_tru 
262,"Thực sự thực sự thất vọng. Tôi đã muốn ở đó một năm rồi .. Cuối cùng thì vợ tôi, 4 tuổi rưỡi và tôi đã tìm thấy một đêm Chủ nhật buồn ngủ để thư giãn. bữa ăn nhẹ nhàng và lãng mạn.",0,4,0,4,0,0,0,0,0,3,0,0,luu_tru 
273,"tuy không rộng, khách phải leo bộ lên các tầng nhưng ăn ở đây khá ổn, bạn An QL nhà hàng cũng tận tụy góp phần ấn tượng không nhỏ về nhà hàng",0,0,4,0,0,0,0,0,4,4,0,0,an_uong 
274,"Tôi đến đây 2 năm trước, và gần đây vừa trở lại cho một chuyến thăm ngắn. Thức ăn hơi khác so với những gì tôi nhớ nhưng nói chung là rất tốt. 
Không khí ấm cúng và đội ngũ nhân viên tuyệt vời như mọi khi. Rất khuyến khích khi bạn đi du lịch một mình, bạn không thể tìm thấy những người bạn mới ở bất cứ đâu nhanh hơn thế này.",5,0,5,5,0,0,0,0,0,5,0,0,giai_tri nha_hang 
287,"Biển rất đẹp, nhiều nắng. Đã sử dụng dịch vụ của nhà hàng Hương Biển. Giá tour ra đảo Hòn Khô khá rẻ (320k/người). Ăn uống rẻ và ngon, người phục vụ nhiệt tình. Nếu có cơ hội sẽ quay lại.",5,0,0,4,0,0,5,0,5,5,0,0,nha_hang 
296,Đường Trần Hưng Đạo quẹo vào đường Hàm Tử sẽ thấy bến cảng cho các tàu đi đánh bắt và tàu chở khách ra đảo.,5,0,0,0,0,0,0,0,0,0,4,0,giai_tri di_chuyen 
303,Đây là hình ảnh thật cho các bạn tự đánh giá,0,0,0,0,0,0,4,0,0,0,0,0,giai_tri 
315,"Gần biển,gần chỗ ăn uống.Nhân viên dễ thương",0,4,0,0,0,0,0,0,0,5,0,0,luu_tru an_uong 
319,"khách sạn sạch sẽ, trang thiết bị mới , hiện đại. nhà tắm nước cực mạnh tắm rất thích. ăn sáng ngon dạng bufet. phòng rộng rãi.",0,5,0,0,0,0,0,5,0,5,0,0,an_uong 
320,"Trên sự mong đợi chỗ nghĩ đáng ngưỡng mộ khung cảnh đẹp nên thơ mộc mạc sâu lắng lòng người , yên tĩnh thích hợp cho các kỳ nghĩ dài hoặc các kỳ nghĩ đông của khách thập phương, bạn bè năm châu bốn bể , là không gian trong sự thăng hoa,",0,5,0,0,0,0,5,0,0,0,0,0,giai_tri luu_tru 
332,"Phong cảnh rất đẹp .phòng đạt chuẩn 5* . Món ăn các nhà hàng rất tươi ngon , đảm bảo an toàn thực phẩm, nhân viên thân thiện ,chu đáo.
",0,5,5,5,0,0,0,0,5,5,0,0,luu_tru 
335,"Nhân viên nhiệt tình, bắp nước ngon, anh soát vé đẹp trai :3",5,0,0,0,0,0,0,0,0,5,0,0,giai_tri an_uong 
341,"Nằm trên bãi biển chính, thực sự trên cát. Giá cả cao hơn một chút so với những nơi khác trong thành phố Quy bào -
 nhưng Địa điểm Vị trí Địa điểm! Không khí tốt. Nơi này có rất nhiều du khách Việt Nam.",4,0,0,0,0,0,0,0,0,0,0,0,giai_tri 
343,"Hihi đơn giản vì nhà mình gần chợ, rất tiện cho nhu cầu sinh hoạt hàng ngày",0,0,0,0,0,5,0,4,0,0,0,0,luu_tru mua_sam 
347,"Đến quán vào tối chủ nhật, quán khá đông lên gọi món hơi lâu. Các món chế biến ngon, xôi gà chiên trẻ con rất thích. Giá cả hợp lý, nhân viên nhiệt tình.",0,0,4,4,0,0,0,0,0,5,0,0,nha_hang 
362,"Tuyệt vời ông mặt trời, vào đây ăn uống nhé, k bán cafe, nếu k ăn tốn phí 50k ngồi bàn. Bắt buộc phải ăn 1 món thì miễn phí. Cảnh đẹp chụp hình lý tưởng.",0,0,0,5,0,0,5,0,0,4,0,0,giai_tri 
365,"Bellissimo! ! Sau khi tự hỏi những con đường yên tĩnh trong cơn mưa, chúng tôi bắt gặp viên ngọc ẩn này. Người đàn ông Úc đáng yêu chào đón chúng tôi ở cửa. Bánh pizza và bia tuyệt vời.",0,0,0,5,0,0,5,0,0,4,0,0,giai_tri 
367,"Gần biển, phòng nào cũng có ban công nên thoáng, gần nhiều quán ăn đi bộ thuận tiện, là khu trung tâm đông vui. Đã nghỉ tại đây 4/2022. Sẽ quay lại nếu có dịp.",0,5,0,4,0,0,0,4,0,0,0,0,an_uong 
376,Tôi rất hài lòng về dịch vụ của công ty ❤️ Rất nhiệt tình và luôn có tâm,5,0,0,0,0,0,0,0,0,0,0,0,giai_tri 
383,"Nói chung đồ Nhật tới giờ vẫn chưa nằm trên top favourite của mình được. Được hôm hội anh em cây khế rủ đi thì cũng có ấn tượng đôi chút. Hên là mấy anh bạn chu đáo book bàn trước chứ đi buổi tối đông lắm nhe. Nhân viên lịch sự, mình muốn gọi gì chỉ cần quay người lại là bạn ấy hiểu ý ngay. Đi có mấy người mà gọi quá trời món. Do quên hông ăn hành được mà chén soup miso nhỡ đem ra rồi. Mình hoảng quá, chưa kịp gọi chén khác nhưng b nhân viên kêu để bạn mang vào đổi cho. Trời đất siêu chu đáo luôn ấy. Các món ăn vừa miệng lắm. Thích nhất là món bò gì ấy quên mất tiêu tên. Sốt cực ngon ăn kèm với cơm trắng là số dzách. Ngoài ra ưng cái.món rong biển rắc mè. Lạnh lạnh thanh mát rất là thích.",0,0,5,5,0,0,0,0,0,5,0,0,nha_hang 
392,"Gia đình mình ở FLC và tìm thấy quán này trên foody. Quán có xe đưa đón khách miễn phí ở FLC rất tiện lợi. Vị trí quán ở ngày cạnh địa điểm du lịch Eo gió, có thể kết đón hoàng hôn ở Eo gió và xuống ăn tối luôn. - Gia đình ăn 2 buổi, một buổi ăn cơm, một buổi ăn hải. Thấy giá cả cũng ổn, nhân viên và chủ quán cũng nhiệt tình, món ăn ngon phù hợp cho gia đình và trẻ nhỏ.",5,0,0,5,5,0,0,0,0,5,0,0,giai_tri di_chuyen 
395,"mình có đi 1 mình tới đây để thưởng thức, tuy hơi hơi ngại so với ko gian quán nhưng sự nhiệt tình của mấy bạn nv + đồ ăn đã làm mình thay đổi suy nghĩ",4,0,0,4,0,0,0,0,0,4,0,0,giai_tri 
405,"Biển đẹp, Lúc mình ghé trời hơi âm u. Tuy nhiên giá cả chặt chém, người kinh doanh xô bồ, phức tạp
",4,0,0,0,0,2,4,0,0,0,0,0,mua_sam 
406,"Những ai yêu màu "" xanh ngát xanh "" thì đây là một địa điểm không thể bỏ qua. Với tông màu xanh ngọc chủ đạo trong nội thất của quán, hòa cùng màu xanh của nước biển, của núi bên cạnh quán hay những con thuyền màu sắc xanh rực rỡ trước nhà hàng thì đây là một điểm check-in tuyệt vời rồi. Đặc biệt quán còn có dịch vụ câu cá free, khi bạn đến đây thì liên hệ nhân viên, họ sẽ cho bạn mượn cần và chuẩn bị mồi câu cho bạn.",0,0,5,0,0,0,0,5,0,0,0,0,luu_tru nha_hang 
410,"Buffet hơi ít lựa chọn, còn chất lượng mình thấy khá ok.",0,0,0,4,0,0,0,0,0,0,0,0,an_uong 
412,Không gian chật chội. Không có thoải mái lựa chọn được. Còn lại thì ok.,0,0,0,0,0,3,0,0,0,0,0,0,mua_sam 
413,"Không Gian đẹp, lấy từ không gian gỗ Hội An. Món ăn ngon, chất lượng, nhân viên phục vụ tận tình và rất lễ phép, món ăn lên nhanh. Tôi không còn từ gì để nói hài lòng và rất hài lòng. Về Quy Nhơn, Bình Định nhất định phải ghé vào dùng không thì tiết lắm.",0,0,5,5,0,0,0,0,0,5,0,0,nha_hang 
434,"Rất thích phong cách quán Santorino coffee tea. Có thể nói đây là quán cafe đáng để ghé thăm nhất ở Quy Nhơn. Do đi công tác cả tuần nên mình cần tìm một quán cafe yên tĩnh và có đồ ăn để lf việc thì Santorino chính là nơi tuyệt vời nhất từ món ăn cho đến các món desert như flan phô mai hay món mix có nhiều thạch rất sáng tạo. Thích nhất chú chó Alaska cực dễ thương. Quán nhỏ xinh nhưng cũng đủ làm cho khách cảm thấy thoải mái nhất. Khách Tây ở đây đến dùng bữa khá nhiều.
",5,0,0,5,0,0,0,0,0,5,0,0,giai_tri 
439,"Nơi tốt để mua sắm trong thành phố. Máy điều hòa hoạt động tốt và rất nhiều thức ăn ngon ở tầng hầm, đặc biệt là kem matcha.",0,0,0,5,0,4,0,0,0,0,0,4,an_uong 
448,"Bánh ít lá gai ăn rất ngon, chả ram tôm đất cũng ngon.
Sẽ gọi điện nhờ shop gửi ra Hà Nội.",0,0,0,5,0,5,0,0,0,5,0,0,mua_sam 
468,"Đón tiếp tụi m rất nhiệt tinh luôn. Vị trí khó tìm thôi. Còn lại tuyệt. Quán nhỏ ma khách đông v~.
Nếu lân sau có ghé lại quy nhơn m sẽ quya lại quán.
",0,0,0,5,0,0,0,0,5,5,0,0,nha_hang 
474,"Tuy nhiên, nhà hàng cần cải thiện thêm chất lượng dịch vụ. Các món ăn lên còn chậm, kể cả những món không cần chế biến cầu kỳ, và nhân viên thỉnh thoảng còn quên/ ghi nhầm món khách gọi. Đỉnh điểm là tuần trước mình gọi phần bún chả, phát hiện có sâu trong đĩa rau sống. Tuy nhiên khi gọi nhân viên lại thì bạn nhân viên chỉ điềm nhiên nhìn, rồi nhặt chiếc lá có sâu mang đi. Tuyệt nhiên không có một lời xin lỗi hoặc đề nghị đổi phần ăn (phần rau) khác cho khách. Dù rằng ai cũng có lúc sơ suất, nhưng với một nhà hàng có phân khúc khách hàng cao cấp thì quy trình kiểm soát Vệ sinh an toàn thực phẩm, chuẩn bị đồ ăn và xử lý tình huống của nhân viên thế này theo mình là rất tệ.",0,0,2,2,0,0,0,0,1,0,0,0,an_uong 
475,"Mình đến vào lúc giữa trưa nóng, không có ai luôn, nhưng nhân viên vẫn rất nhiệt tình, giá cả hợp lý, chỗ ngồi đẹp, trang trí rất xinh xắn, 
nằm trên bãi biển, có thêm cả xích đu, võng để các bạn trẻ sống áo. Chắc chắn sẽ quay lại đây lần sau tới Quy Nhơn",5,0,0,0,0,0,0,5,0,0,0,0,giai_tri luu_tru 
478,Điểm trừ là giá cả của đồ uống trong minibar nên để công khai.,0,0,0,4,0,0,0,3,0,0,0,0,luu_tru an_uong 
481,"Quán nhân viên bao che với nhau để chống chế khách, nhân viên làm lỗi mà quản lý bao che, còn dám nói một dĩa dưa hấu 2 miếng nhỏ mà 50k. Chả có nhà hàng nào món tráng miệng sau ăn mà thu tiền khách. Chủ nhà hàng mà muốn biết thì liên hệ để bít việc nhân viên làm như thế nào. Đã vậy còn k dám cho khách chụp hình nhân viên thì điều đó có nghĩ là như thế nào, chụp để có bằng chứng đối chiếu. Ngày 16/07/2020 lúc 20:77. Hoá đơn 1tr4 Ăn 5 món đoàn gồm 13 người",0,0,1,1,0,0,0,0,1,0,0,0,an_uong 
484,"Đã ăn ở đây, đồ ăn ngon, sạch sẽ, giá mềm, chủ quán nhiệt tình. Mình kêu hơi nhiều món, ăn không hết nên bỏ lại, chú quán thấy vậy ra hỏi món ăn như thế nào mà bỏ lại, rồi chủ động không tính tiền món đó. Cách phục vụ rất nhiệt tình, đáng để đến lần nữa! :)",0,0,5,5,0,0,0,0,0,5,0,0,nha_hang 
497,Lối đi ra vào chỗ cổng hi vọng có thể cải thiên để bớt trơn trượt khi trời mưa.,0,2,0,0,0,0,0,0,0,0,0,0,luu_tru 
498,"Trung tâm mua sắm tuyệt vời! Ngay cả một số món ăn phương Tây như mì ống thực sự, v.v.",0,0,0,0,0,5,0,0,0,5,0,5,an_uong 
501,Ăn bình thường. Giá đắt so với mức nhà hàng bình dân,0,0,2,3,0,0,0,0,2,0,0,0,an_uong 
508,"Có rất nhiều món ăn, việt, trung, hàn, thái đều có cả Nhưng mà nhà hàng cho hơi nhiều dầu ăn, ăn rất ngán",0,0,2,0,0,0,0,0,3,3,0,0,an_uong 
509,"Nhân viên nhiệt tình, vui vẻ. Phòng ốc rộng rãi, chất lượng âm thanh tốt.
",0,5,0,0,0,0,4,5,0,0,0,0,giai_tri 
514,Bãi xe không thuận tiện,0,2,0,0,0,0,0,0,0,0,2,0,luu_tru di_chuyen 
522,"Hải sản tươi ngon,nhân viên phục vụ tư vấn tour nhiệt tình chu đáo,có dịp sẽ quay lại ủng hộ nhà hàng",5,0,5,5,0,0,0,0,5,5,0,0,giai_tri 
523,Sản phẩm rất chất lượng lại còn rẻ. Có cả khu vui chơi rất ok.,5,0,0,0,0,5,0,0,0,0,0,5,giai_tri 
525,"Và thức ăn tuyệt vời, nhưng tia sét giết chết sự rung cảm của ""quán rượu"". Nó trông giống như một nhà hàng và điều đó hơi buồn bởi vì nó có thể là một quán bar / quán rượu to lớn!",0,0,0,5,0,0,0,0,3,3,0,0,nha_hang 
534,"Nhỏ, quá ít gian hàng, thang máy bố trí không thoải mái",0,0,0,0,0,2,0,2,0,0,0,0,luu_tru mua_sam 
535,"cô chú già cho thuê, cũng nhiệt tình. Có một số vấn đề mình thấy ko vui lắm mà cô chú sẽ khắc phục, Nếu nhiệt tình thì cô chú là số 1. Sẽ ủng hộ cô chú nếu lần khác ghé Kỳ co eo gió.",0,0,0,0,4,0,0,0,0,0,0,0,di_chuyen 
538,"Tôi bị mất mũ bảo hiểm. Kiểm tra ra vào quá kém, đi vào có 5 phút ra đã mất mũ bảo hiểm",0,0,0,0,0,0,0,0,0,0,1,0,di_chuyen 
542,Tất cả mọi thứ ok ngoại trừ xe hơi lắc trong khoảng 4 tiếng đầu,0,0,0,0,3,0,0,0,0,0,0,0,di_chuyen 
556,"Quán ăn sạch sẽ và ấm cúng, có nhiều món ăn đẹp mắt. Hàu trên dĩa sắt có vị ngon và béo ngậy rất hợp vị",0,0,5,5,0,0,0,0,0,5,0,0,nha_hang 
563,"Chúng tôi theo đoàn đến nơi này. Ấn tượng đầu tiên là không gian khá rộng rãi. Đội ngũ nhân viên rất nhiệt tình và chuyên nghiệp. Thức ăn là tuyệt vời, Cảm ơn tất cả các bạn.",0,0,5,5,0,0,0,0,0,5,0,0,nha_hang 
567,"Tuyệt vời, giá ok, sẽ quay lại đây và giới thiệu cho bạn bè",0,0,0,5,0,0,0,0,0,0,0,0,an_uong 
571,"Sân bay mới và sạch, nhân viên sân bay tương đối thân thiện. Các dịch vụ phòng sân bay không quá phong phú, chủ yếu là hàng lưu niệm và thức ăn nhanh.
",0,0,0,0,4,3,0,0,0,0,3,0,mua_sam 
572,"Đa phần mình hay vào đây xem phim & ăn uống, giá rất ok, ko quá mắc lại rất sang & đẳng cấp 👍",2,0,0,0,0,0,5,0,0,4,0,0,an_uong 
573,"Nhà hàng sang trọng, chất lượng, giá cả OK",0,0,5,0,0,0,0,0,5,5,0,0,an_uong 
577,"Một quán cà phê, nhà hàng, bar rất sang trọng tại Quy Nhơn, nó thực sự nổi tiếng và thu hút khách du lịch. Có một khoảng không gian rộng lớn, nằm sát biển, view ban đêm rất đẹp với ánh đèn lung linh, có âm nhạc đặc sắc. Thức uống cực kỳ ngon nhưng giá cả thì khá là đắt so với sinh viên, chỉ phù hợp với khách du lịch và khách hàng hạng sang Từ s.blue, bạn có thể ngồi nhìn biển đêm rất là ok, nhân viên ở đây thì nhiệt tình vui vẻ lịch sự",0,0,0,5,0,0,0,0,5,5,0,0,nha_hang 
