,comment
20,"Tôi đi ngang qua và thấy Avani Resort đẹp quá. Tôi ghé vào hỏi thử, hơi vượt ngân sách của tôi nhưng khi gặp bạn Quyền, giám đốc lễ tân, bạn đã thuyết phục được chúng tôi vì sự chuyên nghiệp, ân cần, chu đáo. Chúng tôi quyết định ở, phòng nghỉ rất đẹp, sạch sẽ và tiêu chuẩn. Ăn sáng nấu vừa miệng, ngon và vừa đủ vì không quá nhiều món lãng phí. Resort đẹp và view tuyệt vời. Lúc về lái xe điện đưa chúng tôi lên bãi lấy ô tô, một lần nữa lại gây ấn tượng bởi anh ý lái rất chậm, một phần là lên dốc, một phần như để khách cảm nhận sự lưu luyến khi rời xa nơi này. (Nếu phóng nhanh vút lên dốc, sẽ cho ta cảm giác họ muốn tiễn mình đi cho nhanh). Đây chỉ là cảm nhận của mình tôi, nếu đúng như vậy thì các bạn nên duy trì điều đó."
21,"Theo tôi cần hoàn thiện thêm nơi tắm biển cho du khách, toi rất thích tắm biển tuy nhiên vừa qua tôi đến nghĩ đưỡng sáng muốn xuống biển nhưng thấy toàn đá ông, mong BGD có thể tô chức 1 nơi có thể du khách tắm biển cùng gia đình thì rất tuyệt vời"
22,"Nơi ở yên tĩnh, nhẹ nhàng, kiến trúc hài hoà, cảm thấy thú vị với không gian, thiết kế phòng family, nhân viên hiền hậu, lễ phép, bãi biển nước trong xanh tuy nhiên hơi nguy hiểm do có thể bị hụt sâu do không thoai thoải nhưng không được nhân viên khuyến cáo trước, không thấy bảo vệ bãi biển đâu mặc dù có chòi quan sát. Đồ ăn chưa phong phú chưa thật sự ngon, nhưng chấp nhận được. nên lưu ý vệ sinh phòng sạch sẽ hơn (có mùi khai ở phòng tắm). đồ ăn khách gọi được dọn và đưa ra hành lang nhưng không ai dọn, 2 ngày sau mới được dọn đi?!"
23,"Resort view đẹp, bể bơi sạch hướng ra biển, phòng sạch sẽ, nhân viên thân thiện và nhiệt tình. Cảm ơn vì mọi thứ các bạn đã mang đến. Cảm ơn rất nhiều. Sẽ giới thiệu bạn bè đến đây. Hẹn gặp lại lần sau."
24,"Nhà hàng Sea.Fire.Salt nằm trong khu nghỉ dưỡng Anamatara, dọc đường Quy Nhơn-Sông Cầu, thuộc Tp Quy Nhơn, tỉnh Bình Định quả thật khong hổ danh với đẳng cấp 5 sao. Thức ăn tươi, ngon. Đặc biệt món pizza hải sản thật tuyệt. Mình đã ăn pizza nhiều nơi nhưng vẫn thấy chỗ này là ngon nhất. Vỏ bánh vừa mỏng, giòn rụm, nhân hải sản ngọt đằm hương vị biển cả. Thưởng thức món ngon giữa khung cảnh yên bình với làn gió mát dìu dịu từ biển thổi lên là một trải nghiệm vô cùng dễ chịu. Phong cách trang trí của nhà hàng mộc mạc nhưng tinh tế, mang lại cảm giác gần gũi, ấm cúng, thoải mái thư giãn. Khu nghỉ dưỡng nam ở một vịnh nước nhỏ kìn gió nên gió ở đây chỉ hiu hiu mát chứ không lồng lộng. Vì vậy, ngồi lâu ngoài trời không bị cảm lạnh hay dễ trúng gió như nhiều nơi khác ở gần biển mà"
25,"Chúng tôi đến nhận phòng khá trễ nhưng vẫn được lễ tân và bell man tiếp đón nhiệt tình. 5 sao cho nhân viên. Phòng sạch sẽ và rộng rãi. Đồ đạc khá basic không có gì đặt biệt. Nhưng mỗi phòng đều có ban công hướng ra biển, biển rất gần nên có thể nghe được tiếng sóng luôn. Bữa sáng không có nhiều sự lựa chọn cho lắm. Cần cải thiện thêm. Nếu có cơ hội nhất định sẽ quay lại Avani."
26,Nghe tin anh Khoa nỗi tiếng là đc giải đáp án Sau 3 tháng hơn vẫn chưa đc 1 lần nghe phản hồi từ khách sạn này Ngày 9/1/2019 tôi tên Henry cùng đoàn tới Ks này. Ks chuẩn 4 sao ngay từ khi đến nơi tôi đã ko thiện cảm. Dẫu gọi đt báo trước nhưng đến nơi tôi và bạn tôi vẫn phải đi bộ từ đầu đường đi xuống tới sảnh khách sạn để nhận phòng. Do ko thích phòng có số 214 nên tôi đã yêu cầu đổi phòng 213 do phòng đó hiện còn trống và cùng loại phòng với tôi. Nhân viên Lễ Tân chấp nhận đổi và báo lại đợi dọn phòng xong lúc đó là 4h chiều. Đến chiều khi bước ra khỏi phòng để ra ngoài ăn tối bạn đó lại hẹn tiếp tục lần 2 là đợi ăn về sẽ đổi. Đến 8h tối về lại ks thì bạn ấy lại hẹn lần 3 là sáng mai khi ăn sáng xong thì sẽ đổi phòng. 6h20 sáng ăn đến 8h để ra ngoài thì vẫn lễ tân đó kêu
27,Resort đẹp tuy nhiên rất xa trung tâm Ăn sáng còn chưa đa dạng Nhà hàng chưa nhiều sự lựa chọn Bãi biển vắng hơi hoang sơ còn chưa thực sự đẹp Phòng rộng rãi Bể bơi tuyệt vời Không gần các điểm tham quan Nhân viên thân thiện
28,"AVANI có không gian hài hòa với thiên nhiên. Có sự giao hòa giữa núi biển mây trời. Các phòng sạch sẽ yên tĩnh và thoáng mát. Nhân viên chuyên nghiệp nhẹ nhành. Từ điểm lưu trú có thể dễ dàng đến các địa điểm khác tại Quy Nhơn hay Bình Định, Phú Yên. Không gian chung resort đẹp mang lại cảm giác thư thái. Bể bơi hơi nhỏ, nước sạch, phòng gym, game hơi kín không được thoáng mát."
29,"Đến Quy Nhơn tôi khuyên các bạn nên ở đây, vì đây là một trong những resort tốt nhất hiện tại. Trong tương lai tôi không chắc, những tôi khuyên các bạn nên chọn AVANI Quy Nhơn. Với đội ngũ nhân viên được đào tạo bài bản, tin rằng chuyến đi của các bạn sẽ giống tôi."
30,"Tôi và những người bạn đã có kì nghỉ tuyệt vời ở Avani resort and Spa. Resort có phong cách tối giản, gần gũi với thiên nhiên. Nhà hàng view biển, không khí trong lành tuyệt vời. Đồ ăn local rất ngon ( bún cá quy nhơn). GM ( Mr Hieu) và nhân viên vô cùng thân thiện và chuyên nghiệp. Local land tour thực sự là một trải nghiệm tuyệt vời. Cảm ơn Avani team, chúng tôi sẽ nhất định quay trở lại."
31,"Nhân viên thân thiện, phòng cảnh đẹp, phòng ốc sạch sẽ, thức ăn ngon. Có duy nhất 1 điểm avani nên khắc phục là rèm ở trong phòng tắm. Do rèm vải nên dễ bị ướt, lại ở trong phòng kín nên hơi có mùi. Còn lại thì tốt"
32,"Tôi sẽ quay lại nghỉ tại đây khi có thời gian, tôi rất thích không gian và khung cảnh nơi này. Nơi nghỉ dưỡng mà tôi thấy hài lòng nhất, đáp ứng được yêu cầu thẩm mỹ và yêu cầu về sự sạch sẽ. Bây giờ tôi vẫn còn lưu luyến về khoảng thời gian nghỉ tại đây!"
33,"Chất lượng phòng quá cũ, nội thát kém. Cách xử lý cho vấn đề double payment for 1 booking không được thỏa đáng, nếu các bạn đặt phòng or salrs quan tâm hơn đến khách thì có thể gọi cho khách trước khi check in vài ngyaf để tìm hiểu các thông tin cho booking kể cả booking đã hủy."
34,"Khách sạn đẹp, khung cảnh tuyệt vời, bãi biển đẹp nhưng không thoải nên ngắm thích hơn tắm. Điểm trừ là hơi xa thành phố và nhà hàng thì ít lựa chọn, phục vụ chậm và giá thì hơi cao. Nhân viên thì cực ngoan và nhiệt tình."
35,Mình đã từng ở rất nhiều resort ở VN nhưng khi đến đây thực sự thấy tuyệt vời. Từ cách thân thiện của nhân viên đến phong cảnh tại resort. Bờ biển ngay sat resort luôn. Rất tyệt vời cho 1 chuyến đi nghỉ dưỡng. Thực sự TUYỆT 👌👌👌 Tuy nhiên có 1 điểm resort hơi xa trung tâm và các khu du lịch với những ai muốn khám phá du lịch.
36,"Avani ở một vị trí yên tĩnh, đẹp, thích hợp là nơi nghỉ dưỡng tuyệt vời. Bên cạnh đó, khách đến đa số là người nước ngoài nên không gian rất yên tĩnh. Đây là điều mà Avani hơn hẳn các Resort ồn ào khác do khách từ miền ngoài, khách Trung Quốc,..."
37,"Dieu tuyet voi nhat la o day co nhung nhan vien phuc vu rat chuyen nghiep, tan tam voi khach hang, ho se cho ban cam giac am ap nhu tro ve ngoi nha cua minh. Chat luong Spa cung rat tuyet. Hy vong se tro lai som tham Avani."
38,"Ở resort này chúng tôi thấy đc sự đẳng cấp trong việc chăm sóc khách hàng. Nhân viên ở đây rất là thân thiện, đồ ăn sáng ít nhưng chất lượng. Phòng ngủ view biển nên tối nghe đc tiếng sóng rì rào rất thích. Hồ bơi sạch. Mọi thứ đều rất tuyệt"
39,"Vị trí rất đẹp, dịch vụ tốt, nhân viên thân thiện, việc đón khách và tiễn khách rất chu đáo. Tuy nhiên, cần có thêm một số dịch vụ vui chơi giải trí cho trẻ em, vào mùa lạnh có bể nước nóng thì sẽ tốt hơn."
40,"Đội ngũ nhân viên đón tiếp nhiệt tình. Ngày check out chúng tôi phải đi sớm, các bạn chủ động chuẩn bị đồ ăn sáng rất gọn gàng sạch sẽ, ngon miệng. Tuy bữa ăn trong nhà hàng hơi chậm, nhưng nếu chủ động đặt trước sẽ không phải chờ lâu. Phòng ốc sạch sẽ, bước chân xuống là bãi biển nên bọn trẻ nhà tôi rất thích. Tuyệt vời!"
41,"Tôi rất thích Avani Qui Nhơn . Vợ chồng tôi đến đây rất nhiêu lần , sau mỗi lần đến mọi thứ được chăm sóc tốt hơn , từ dịch vụ , thức ăn , vận chuyển ... tuy nhiên , phòng vẫn còn mùi ẩm và ồn từ máy lạnh . Nhưng vẫn ấn tượng với Avani , tôi sẽ quay lại vào tháng 2 /2018"
42,"Gia đình tôi đến Quy Nhơn vào tháng 8 năm 2017 và dựa trên đánh giá về các khách sạn tại đây chúng tôi đã chọn Avani làm nơi nghỉ dưỡng của mình khi lần đầu đến thành phố biển xinh đẹp này. Điểm tuyệt vời nhất của khu nghỉ dưỡng là bãi biển hoang sơ, sạch sẽ và riêng tư tuyệt đối. Chúng tôi có cơ hội được làm quen với rất nhiều người bạn thiên nhiên như bạch tuộc, sao biển, cá... điều mà chúng tôi hiếm khi gặp ở biển Phú Quốc, Đà Nẵng hay Nha Trang. Các dãy phòng của khu nghỉ rất duyên dáng và được thiết kế hài hòa với tổng thể. Phòng đẹp, ban công rộng, thoáng với view biển lãng mạn. Điểm cộng cho khách du lịch theo gia đình vì khách sạn có phòng gym và phòng vui chơi trẻ em khá hiện đại. Các con tôi ngoài lúc ở bãi biển thì dành phần lớn thời gian ở đây. Đồ ăn khá ngon và phục"
43,"Tôi rất thích nơi này ngay từ lần đầu nhìn thấy. Phòng ở đây đầy đủ tien nghi, đồ ăn ngon và hợp khẩu vị với đủ món âu á. Ngoài ra còn có khu vực vui chơi cho trẻ em và các bạn nhân viên cũng rất thân thiện"
44,"Tôi và chồng yêu resort này, 1 ngày ở đây mang đến cho chúng tôi cảm giác thư giãn, ấm áp, thoải mái, dễ chịu hết sức. chỉ một vài điểm trừ nhỏ hy vọng sẽ cải thiện trong thời gian tới để hoàn chỉnh hơn. đây là một điểm đến và thư giãn lý tưởng! Bữa tối tại nhà hàng cực kỳ ngon miệng. Bữa sáng không quá cầu kỳ nhưng rất chỉn chu và tinh tế trong cách bài trí, bày biện. phục vụ."
45,"* Điểm cộng: - Phòng view hướng biển, nhìn được toàn cảnh biển lúc bình minh & hoàng hôn - Toilet sạch sẽ, có đầy đủ dầu gội, dầu xả, sữa tắm, body lotion - Nhân viên hỗ trợ nhiệt tình * Điểm trừ: - Nước uống resort tặng để ngay bồn rửa mặt, nếu ko đọc kỹ sẽ nghĩ nước súc miệng => ko hợp vệ sinh - Buffet ko có nhiều món, chỉ những món cơ bản, ko có nhiều sự lựa chọn và đầu bếp nấu cũng ko đc ngon - Nhân viên ko nắm rõ thông tin khách hàng, lúc nói thế này, lúc tư vấn thế khác"
46,"Toi rat thich noi nay, mac du toi da den do nhieu lan roi. Phong oc thi tien nghi, do an thi rat la ngon va hop khau vi, dat biet la con toi rat thich ho boi noi nay va khu vuc tro choi cua con nit. Hy vong toi se quay lai noi nay vao 1 ngay khong xa"
47,"Tôi sẽ nói về những điểm ấn tượng trước : Tôi ở đây 4 ngày cùng gia đình vào lễ 02/09. - Ấn tượng đầu tiên là dịch vụ rất tốt, nhân viên rất thân thiện. Tôi đến khá sớm và được nviên check in sớm 1 phòng ở tầng 3 có view rất đẹp. Ngày cuối chúng tôi check in muộn và đc nviên hết sức giúp đỡ rất thân thiện. Chúng tôi đã có kỳ nghỉ trọn 4 ngày đáng nhớ. - Ấn tượng thứ 2 là resort thiết kế rất đơn giản nhưng lại rất đẹp và tinh tế, đặc biệt view từ phòng vô cùng đẹp xuống bãi biển, còn đẹp hơn trong ảnh chụp tôi xem. Bãi cát vàng như dài vô tận,những dải đá điểm xuyết rất đẹp. Trần phòng ở tầng 3 là ngói lợp, phía trên là mái lá rất đơn giản. Trần nhà rất cao và thoáng. Phòng vô cùng sạch sẽ. - Bể bơi không to nhưng khá đẹp, sạch. - Spa thiết kế rất tuyệt vời và theo tôi là thứ giá"
48,"tuy hơi xa trung tâm thành phố nhưng không sao cả! mọi thứ đều đơn giản nhưng gọn gàng. tiện nghi mới, đặc biệt thích thiết kế phòng tắm ở đây. không gian thoáng và yên tĩnh. nhân viên phục vụ tốt. có dịp quay lại quy nhơn nhất định sẽ tiếp tục ghé thăm avani 1 lần nữa."
49,"Quản lý và nhân viên có chuyên món khá cao, rất thân thiện, nhiệt tình. Bãi biển nhỏ nhưng tuyệt đẹp. Phòng sạch sẽ bố trí hợp lý. Club kid cần đầu tư thêm. Gia đình Tôi chắc chắn sẽ quay lại AVANI khi đến Quy Nhơn."
50,"Resort nằm xa thành phố. Rất riêng tư, lãng mạn. Biển lặng sóng và rất sạch . Nhân viên thân thiện và chu đáo. Món ăn rất ngon miệng. Phòng đẹp, có view đẹp nhìn ra biển, thiết kế thông minh, tiện ích."
51,"moi thu deu ok: chat luong dich vu, phong, an sang, an toi...dac biet la GM cua khach san rat chu dao vaf than thien: quan tam den tung khach hang, chu dao voi tre nho va phu nu... Toi cam thay tuyet voi khi o Avani QUy Nhon."
52,"Gia đình tôi đã ở một vài resort và khách sạn xa trung tâm, nhưng đa số đều có taxi tại sảnh nên rất tiện lợi cho việc đi lại bất kể lúc nào và vô cùng nhanh chóng - Trừ Avani. Tôi đã có thể cho Avani 4 hoặc 5 điểm nhưng đêm cuối cùng tại Avani đã khiến tôi phải thay đổi suy nghĩ, khi chồng tôi bị dị ứng nặng cần phải đi cấp cứu bệnh viện mà phải chờ gần 15' taxi vì khách sạn ko hề có taxi tại sảnh hay xe riêng hay bất cứ phương tiện gì hỗ trợ. Thiết nghĩ, với quy mô như vậy, tại một thành phố hứa hẹn nhiều khách du lịch đặc biệt là gia đình có trẻ nhỏ, Avani cần phải đầu tư gấp về vấn đề xe đi lại trong trường hợp khẩn cấp! Ngoài sự cố vào đêm cuối của gia đình khiến tôi thấy rất thất vọng về ks, tôi có thể đánh giá về thái độ của nhân viên cũng như cơ sở vật chất ở đây khá"
53,"Bãi biển dài, rộng và đẹp. Đặc biệt hoàng hôn và tối thì cảnh tượng thật ấn tượng. Tuy vậy sóng hơi to và nước khá sâu cho trẻ - trẻ em nên đi xa về phía làng, có bãi nhỏ và không sóng. Resort thiết kế ấn tượng. Thật tuyệt với khi ăn tối giữa sao trời và ánh đèn lung linh trên biển. Nhân viên hết sức dễ chịu. Phòng và lan can rất đẹp. Tuy vậy nếu phòng tắm chạy hết ra balcon thì cửa sổ sẽ nhìn thẳng xuống biển."
54,"Chúng tôi đã ở Quy kiếm để kinh doanh và may mắn tìm được Avani cho kỳ nghỉ của chúng tôi. Phòng là bãi biển và nhân viên rất thân thiện và mong muốn làm hài lòng. Đó là tài sản chị em đi bộ khoảng cách bên cạnh giá trị một chuyến thăm quá. Bạn có thể dùng bữa tại một trong hai khu nghỉ mát, nơi tuyệt vời cho nhiều đêm nghỉ."
55,Vị trí đẹp ngay trên Bãi biển. Yoga đẹp và trung tâm thể dục nhỏ tốt. dịch vụ kg cao cấp. Không có vấn đề họ luôn luôn giúp bạn. Massage rất tốn kém. Âm thanh Hugh từ AC trong đêm. Bord đáng yêu từ khách sạn và phòng.
56,"Chúng tôi đã có một phòng trên tầng cao nhất với tầm nhìn hoàn hảo ra biển. Căn phòng rộng rãi và có ban công, chúng tôi có thể ngồi ngoài và ngắm cảnh. Tất cả các nhân viên rất hữu ích và không thể làm đủ cho bạn. Bữa sáng là tuyệt vời với sự lựa chọn tốt để phù hợp với mọi sở thích. Chúng tôi đã thử một bữa ăn tối và một lần nữa điều này là tuyệt vời. Giá cả là một chút về phía cao nhưng giá trị nó. Có một quán bar trên bãi biển, nơi phục vụ thức ăn và đồ uống rẻ hơn nhưng nó là cơ bản. Chúng tôi sẽ chắc chắn ở đây thêm lần nữa."
57,"Gia đình của chúng tôi gồm 6 ông bà, 2 trẻ em và chúng tôi, đã ở 5 đêm tại khu nghỉ dưỡng Avani Quy bù ngay trước Xmas. Chúng tôi đặt gói hàng từ Luxury Escape mà không có bất kỳ kiến thức nào về Quy cạo và nhận cho mình một bất ngờ tuyệt vời. Được mùa, chúng tôi thực sự có khu nghỉ mát cho riêng mình và rất ấn tượng với sự ấm áp của mọi người, ngay từ nhân viên quản lý lễ tân cho đến những người làm vườn. Mặc dù bữa trưa và bữa tối bao gồm trong gói của chúng tôi đã được cố định, sự đa dạng là đủ để giữ cho chúng tôi quan tâm. Trẻ em của chúng tôi có thể nhận được đủ các món súp cà chua và pizza bơ thực vật và chúng tôi đã có trong danh sách đặt hàng hàng ngày. Tiếng hét đặc biệt phải được trao cho: Tiếp nhận: My, Quy, Quyên và tất cả những người khác mà tôi đã bỏ lỡ tên"
58,"Một địa điểm nghỉ dưỡng tuyệt vời. Nếu có điều kiện ghé qua Quy Nhơn, Bình Định thì nên lựa chọn Anantara Quy Nhon Villas. Cảnh trí đẹp, cơ sở vật chất tuyệt với, nhân viên thân thiện, chuyên nghiệp, đồ ăn ngon. Nên trải nghiệm & cảm nhận"
59,"Resort nhỏ nhưng đẹp và yên tĩnh. Nhân viên rất dễ thương và nhiệt tình. Thức ăn được chuẩn bị tươi, nêm nếm vừa miệng và ngon. Nếu có thêm các hoạt động như diving, xem phim ngoài trời ... sẽ thú vị và có thể giữ khách lưu trú thêm nhiều đêm."
60,"Phù hợp cho honey moon và kỳ nghỉ gia đình. Không gian yên tĩnh, rộng rãi thoải mái. Phòng sạch sẽ, bữa sáng rất ngon và đa dạng món ăn. Nhân viên rất hiếu khách và luôn có mặt để hỗ trợ khách dù không được yêu cầu"
61,"Đồ ăn không ra gì, từ tính đa dạng đến chất lượng với giá 30tr 544 1 đêm lưu trú; cần thay đầu bếp người Việt (tôi nghĩ vậy) ; tôi đi Vinpearl PQ cách đây 7 năm có ông đầu bếp ng Ấn làm đồ ăn nhạt - thiết nghĩ người Việt sẽ hiểu khẩu vị Việt hơn Không có sâm panh chào mừng Biển nguy hiểm không tắm được"
62,"View biển đẹp, nhân viên vui vẻ, nhiệt tình, khu vực yên tĩnh. Nằm trên biển ngắm hoàng hôn là perfect nhé. Giá cả ăn uống vừa phải so với các resort khác. Khu vực cũng tương đối dễ di chuyển đến những khu vực xung quanh"
63,"Tôi hài lòng về thời gian lưu trú tại đây, nhân viên thân thiện nhiệt tình, phòng sạch sẽ, bữa sáng tuyệt vời. Tôi sẽ quay trở lại khi có điều kiện. Bữa tối tại villa cũng delicious, thời tiết tuyệt vời khi tôi đến"
64,"Khu resort có 26 villa biệt lập, thích hợp nghỉ dưỡng. Bãi biển và cảnh quan đẹp, nhân viên hết sức thân thiện. Villa thiết kế rất đẹp, kèm bể bơi riêng gia đình, có thể kết hợp 2 villa cho các gia đình. Đầu bếp người Indonesia nấu ăn ngon, nhà hàng đẹp, sang trọng."
65,"Tôi khá hài lòng khi du lịch và nghỉ dưỡng tại anantara Quy Nhơn villa. Trước hết bởi không khí trong lành và sự sạch sẽ nơi đây, phòng ốc cũng khá thoáng mát tiện nghi, nhân viên villa thân thiện, nhiệt tình và luôn hết mình với công việc và khách hàng. Đồ ăn nhiều dinh dưỡng và tốt cho sức khỏe. Tuy nhiên cần có thêm 1 vài món rau dành cho những người thích ăn rau củ quả vào buổi sáng."
66,"Không có hạt sạn nào dù là nhỏ nhất tìm thấy ở các bạn . Sự chu đáo , nhiệt tình và thân thiện như những người thân trong gia đình mang đến một kỳ nghỉ hoàn hảo cho gia đình nhỏ của tôi . Cơ sở vật chất rất tốt , bãi biển đẹp ,view biển từ phòng nghỉ rất thơ mộng . Ăn sáng với phong cách và chất lượng đỉnh cao , nhà hàng Sea Fire Salt rất độc đáo và chu đáo . Cảm ơn các bạn về tất cả"
67,"Đây là kỳ nghỉ đầu tiên của gia đình chúng tôi. Khi mới đến cảm giác thật thoải mái dễ chịu, mặc dù khi nhận phòng có 1 vài điểm nhỏ khiến tôi không hài lòng nhưng thật sự sự tiện nghi, dịch vụ rất tốt."
68,"chất lượng chưa tương xứng với giá cả. phòng nghỉ sạch sẽ tuy nhiên cây cối rất ít và chết nhiều, vào resort mà toàn thấy màu vàng úa của cây cỏ, cây dừa thì trụi lá, bể bơi chung không sạch, đáy bể có nhiều lá, cát sạn. nhà hàng ít món, thực đơn không đa dạng. ăn sáng ít món, chất lượng bình thường. không có đồ chơi cho trẻ em tại bãi biển. không có cứu hộ ngồi canh ở bãi biển. với giá 670$ 1 đêm tôi thấy chất lượng kém xa các resort như melia đà nẵng, anamadara nha trang, Intercontineltal đà nẵng ..."
69,"nếu cuộc sống của bạn quá nhiều thứ để lo nghĩ, sao không buông hết mà đến đây một lần, tôi bảo đảm sự phục vụ tận tình chu đáo cộng thêm điểm nghỉ dưỡng đẹp hút hồn thì mọi ưu phiền nhọc nhằn của bạn sẽ được tan biến, chúng tôi đã đến nơi này và chúng tôi sẽ quay lại sớm nhất, chúng tôi đánh giá trên mức độ hài lòng cho tổng thể con người và điểm đến nơi đây."
