,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
693,"Thấy thông báo nên mình viết review. Mũ bảo hiểm bạn mình thì sạch, nhưng mũ mình hơi cũ. Nhìn chung xe cũng đc, nhưng giao sân bay thì cũng tiện. Bác gái rất nhẹ nhàng và tình cảm. Sẽ ủng hộ bác lần sau._x000D_
",0,0,0,0,4,0
4599,"Xe gì đi lẻ vài ngàn , kêu không có tiền thối rồi xin khách lấy luon tiền chẵn vì là khách mở hàng ,_x000D_
 thái độ phục vụ kiểu gì vậy , đi bực mình , tốt nhất mọi người đừng đj",1,0,0,0,1,0
2411,"Rộng rãi, trò chơi rất thích thú. Có nhiều hoạt động buôn bán, minigame_x000D_
",0,0,0,0,0,4
994,"Dù mình chưa đặt bánh nhưng mà shop đã tư vấn rất nhiệt tình, mình rất thích",0,0,0,5,0,0
2094,"Món ăn tạm được, (1ki)ghẹ tươi(400k/1kí), mực giai nhưng ko ngọt(200k /1 dĩa), món sứa nước lèo ăn ko ngon, nồi nhỏ xíu(320k) nhà mình 5 ng mỗi người được 1 chén, nghêu con to(150k/1 tô). Canh cải 80k /1tô. Theo khẩu vị thì ko có gì đặc sắc vì menu không có giá nên khuyên các bạn nên hỏi giá trước khi gọi món. Theo mình thì giá này chát quá.",0,0,0,1,0,0
4135,"Đợt Tết mình về quê, ngay mùng 1 cả gia đình mình cùng nhau họp mặt ở quán này. Cũng khá lâu rồi giờ mình với có thời gian review. Về quê mà nghe đồn kinh phia đầu tư gì mà tới tiền t. Vì là ngày Tết nên quán khá là đông và ồn ào, nhân viên phục vụ hơi lâu. Còn về phần nước uống thì phải nói là dở tệ luôn, giá thì cao ngất ngưởng. À còn chưa tính vì đông quá nên cảm giác không gian quán cứ dơ dơ,bụi bụi sao ấy. Cuối cùng, có cho cũng không quay lại đâu !!",0,0,0,1,0,0
2653,"Lúc trc chỉ 17k/ tô nay lên giá xíu 20k/tô nhưng mà hương vị và chất lượng vẫn như ngày nào. Ăn ở quán nhiều lần rồi hôm nay mới có dịp review cho acebb cũng biết. Chả cá rất thơm,thịt cua tươi dai ko bở. Mình thích ăn nhất là bánh canh gạo. Rất rất ngon :)) Vẫn sẽ ăn dài dài ở đây",0,0,0,5,0,0
531,"Nội thất tuyệt đẹp, chất lượng hoàn toàn vượt xa so với giá mà khách sạn bán. Thích hợp cho gia đình cần không gian riêng",0,5,0,0,0,0
3434,Đồ ăn ngon. Giá hợp lý. Hơi nóng chút thôi. Do k gần biển.,0,0,0,5,0,0
423,"Chúng tôi đã chia sẻ một pasta napolina - rất tươi và ngon. Sau đó, chúng tôi đã gọi pizza - tôi yêu cầu không có phô mai trên pizza nhưng họ quên đề cập đến phô mai trong pesto và tôi cũng không nghĩ về điều này. Tôi biết ngay khi nhìn thấy chiếc bánh pizza có chứa phô mai. Chủ sở hữu đã thay đổi điều này cho tôi không có vấn đề và làm cho tôi một cái mới.",0,0,0,5,0,0
1880,"Nhân viên lịch sự, chất lượng hàng hoá ok!_x000D_
",0,0,0,0,0,4
398,"Tiếng sập cửa khá to, Khách sạn nên có khuyến nghị khách nhẹ tay khi sập cửa. Phòng gym quá nghèo nàn.",0,1,0,0,0,0
966,"Trái cây và rau tươi được lựa chọn hạn chế. Đó là một siêu thị lớn nhưng chủ yếu chứa đầy những thứ mà tôi là một người nước ngoài sẽ không bao giờ mua. Ví dụ như dầu ăn và mì gói là rất lớn. Nó nằm trên tầng cao nhất, không thuận tiện. Bạn cần đi hai thang cuốn lớn để đến nơi. Cả ngày họ đang nướng bánh mì tươi, thật tuyệt!",0,0,0,0,0,4
1976,"Quán nằm bên ngoài an phú thịnh. View quán rất đẹp , mát mẻ . Quán có 2 tầng nên gian rất rộng rãi, đầu tư trang trí, phần nội thất rất hợp lí, mình thích kiểu bàn ghế ở đây. Nhưng mình k hiểu tại sao quán kco chỗ để xe , mỗi lần đến là để xe lung tung cả lên . Nhân viên phục vụ nhiệt tình , dễ thương . Menu không quá đa dạng, chất lượng ở mức tạm được, có loại không được ngon cho lắm . Giá cả cũng như những quán khác tầm từ 20k trở lên ️",0,0,0,3,0,0
3633,"Mình đi du lịch rất nhiều vùng miền ở VN, cảnh vật và con người là 2 yếu tố quan trọng để khách du lịch ấn tượng và nhớ mãi về mảnh đất nơi họ đi qua. Nhà hàng này làm mình có ấn tượng không tốt, cách làm việc không thể chấp nhận nổi. Mình đặt bàn đặt chỗ theo thực đơn cho đoàn 7 mâm các kiểu từ buổi tối hôm trước, sáng 9h alo gọi điện để kiểm tra lại ( vì biết bây giờ QN đông khách có thể có trục trặc) nhà hàng báo em không nhận đoàn chị nữa. Quá choáng!!",0,0,0,1,0,0
2862,"Thời tiết những ngày này thật khô nóng và khó chịu, vậy thì sao chúng ta không cùng bạn bè, gia đình hay người ấy đi ăn kem nhỉ??? Kem jolly sẽ là địa chỉ tuyệt vời của các bạn trẻ, vì sao? Vì ở đây kem vừa dẻo, mềm và thơm. Ngoài ra, lại vừa ngon, vừa mát, vừa bổ dưỡng. Bên cạnh đó, không gian quán lại rất đẹp, thoáng đãng, mát mẻ nên rất phù hợp cho giới trẻ selfie các kiểu. Giá cả hạt dẻ vô cùng phù hợp với các bạn trẻ, với phương châm vừa ngon, vừa bổ dưỡng và phù hợp túi tiền , hy vọng Kem jolly sẽ mang đến địa chỉ đáng tin cậy của quý khách! Nào hãy nhanh chân đến với jolly 121 Lê Lợi để tận hưởng và cảm nhận nào các bạn !!!",0,0,0,5,0,0
3326,Tôi k nghĩ là quy nhơn có spa chuyên nghiệp như vậy....Bước vào trong có mùi hương tinh dầu tạo cảm giâc thoải mái và dễ chịu.Nhân viên tư vần nhiệt tình dễ thương....KTV chuyên nghiệp bài bản.....Cảm giác thoải mái khi đến nơi này....Quán nằm ngay ngả tư chương dương va nguyễn thị định... để ý mới thấy vì bảng hiệu đặt bên trong...,5,0,0,0,0,0
1992,"ồ nhà tắm còn thiếu dao cạo râu, không hỗ trợ nhận phòng sớm free",0,2,0,0,0,0
558, - Lái xe lái xe ở tốc độ tốt và an toàn,0,0,0,0,4,0
3950,"Quán hải san tươi , chế biến ngon , nhiều món hải sản lạ: vú nàng các loại ốc.. lẫu sứa siêu ngon có cả cơm canh chua cháo tôm băm cũng ngon bé nhà mình rất thích.  Phục vụ chu đoá . Có xe đưa đón free nếu bạn ở FLC .... Nhà mình ở 3 ngày flc ăn cả 5 bữa tại nhà hàng... Mọi người rất nhiệt tình và dễ thương. Nói chung rất ưng",0,0,5,5,0,0
1462,"Chùa Long Khánh là một trong những địa điểm tham quan, du lịch tâm linh nổi bật ở Bình Định. Tại đây có bức tượng Phật lớn, cao tới 17m và đặt ngay ở giữa sân chùa, từ bên ngoài cũng có thể dễ dàng thấy được bức tượng này. Ngoài ra tại chùa còn 2 hiện vật quý là chuông Hồng Thái và tấm dấu Long Khánh Tự.",5,0,0,0,0,0
4103,"Khách sạn sạch sẽ, nằm ngay trung tâm nên đi lại rất thuận tiện. Lễ tân cũng rất vui vẻ, thân thiện",0,4,0,0,0,0
2754,"Đa dạng hàng hóa , nơi tham quan mua sắm văn minh và chất lượng",0,0,0,0,0,5
2164,"Địa điểm là những gian phòng nơi Hàn Mặc Tử trải qua những ngày cuối đời. Căn phòng toát lên vẻ cổ kính, thấm mùi lịch sử..Phòng lau dọn sạch sẽ. Tọa lạc trong trại phong Qui Hòa (nay là bệnh viện phong), vé vào cổng để tham quan 5k rẻ bất ngờ..Phía trước là giàn hoa giấy, xa xa là biển, kết hợp với không khí bình yên trong trại phong phần nào xóa nhẹ đi nỗi ưu phiền của những người mắc phải căn bệnh quái ác này",5,0,0,0,0,0
2667,Đoàn Thuê Xe Đi Hà Giang và Đoàn đã đi đến nơi về đến chốn. Cảm ơn Bác Tài rất nhiều. Chuyến đi thành công tốt đẹp.,0,0,0,0,4,0
73,"Dịch vụ rất tốt, nhân viên chu đáo nhiệt tình, giá cả phải chăng, hợp lí. Địa điểm lí tưởng để cho cả nhà du lịch. Sẽ giới thiệu cho bạn bè và nhiều người khác nữa._x000D_
",0,5,0,0,0,0
4317,"Không gian nhỏ nhưng thoáng, menu đa dạng, giá rẻ. Bánh ngon tuyệt nhưng hơi nhỏ. Nước uống cũng ngon lắm. Chỉ có 1 nhân viên nên nhiều lúc đợi hơi lâu",0,0,0,4,0,0
4270,"Cách trung tâm thành phố Quy Nhơn khoảng 40km. Sân bay có chỗ gửi xe máy và ô tô, một lựa chọn tiện lợi tuyệt vời cho các bạn ở Bình Định. Giá Gửi xe ô tô là 60k/ngày đêm, Xe máy là 20k/ngày đêm. Ngoài ra, hành khách có thể sử dụng tuyến xe Bus đưa đón từ sân bay đến 01 Nguyễn Tất Thành, Quy Nhơn với giá 50k/lượt._x000D_
",0,0,0,0,3,0
5221,Chợ bán hải sản tươi ngon nhưng giá hơi cao,0,0,0,0,0,4
4828,"Chợ tháp đôi là chợ nhỏ của phường đống đa nhưng các mặt hàng đầy đủ để mua rất thuận lợi_x000D_
",0,0,0,0,0,4
1387,"Đợt đi du lịch với công ty ra quảng trường dạo, tìm chỗ uống nước nên ghé quán này. Không gian quá chời rộng. View bờ sông mát mẻ. Giá cả cực kì đắt đỏ Nhân viên k thân thiện lắm Menu nhiều món Mình gọi trái dừa nước, giá 40k thì phải",0,0,0,3,0,0
2614,"Quán view đẹp, có cả không gian nhẹ nhàng phía bên trong nghe nhạc và nhộn nhịp cho ai muốn ngồi phía ngoài ngắm xe cộ, đường phố 😋😋😋 Đồ uống thì bao ngon mà quan trọng là siêu rẻ luôn các bác... 🍸🍹🍦🍵🍶🍷",0,0,0,5,0,0
4348,Nhà hàng ăn trưa rất ngon và sạch sẽ món ăn rất da dạng  cơm văn phòng giá rẻ.Channel YouTube Tuan Nguyen Vlogs USA.Cả Nhà vào Xem Video và đăng ký kênh YouTube ủng hộ mình nhé.Cảm ơn cả nhà rất nhiều nhé,0,0,5,5,0,0
3145,Chợ mở bán sớm và tan chợ cũng sớm khoảng 10 giờ là không còn thấy ai bán,0,0,0,0,0,3
2196,"Quy Nhơn Xưa là nhà hàng toàn đồ Quy Nhơn địa phương ngon, cảnh đẹp, ai đi Quy Nhơn phải tới",0,0,4,0,0,0
2556,"Giá ok , cho ăn thử tất cả các món quá đã",0,0,0,0,0,5
4988,đáng tin cậy và được đề nghị bởi hầu hết các hướng dẫn khách sạn tại Sài Gòn. đã sử dụng dịch vụ và dễ dàng chỉ đạo và tìm kiếm sự trợ giúp,0,0,0,0,4,0
3418,"Đông vui rất thích cuối tuần đi mua sắm ít hải sản tươi ngon tại đây_x000D_
",0,0,0,0,0,5
2763,"Khách sạn đẹp, trang phục nhân viên sang trọng hơn nhiều ks khác, cách đối xử với nhân viên của ban giám đốc tốt_x000D_
",0,5,0,0,0,0
4948,Hải sản tươi ngon giá cả phù hợp đường vào hẹp,0,0,0,4,0,0
3783,"Cá nhân tôi cảm nhận thì quán nhỏ nhưng rất đông, có lẻ vì khách follow review, bánh xèo tôm ko ngon. Bánh xèo bò thì ok hơn một chút. _x000D_
Nhìn chung thì vẫn ko nhon bằng bánh xèo diên hồng.",0,0,3,3,0,0
2932,"Tết đến xuân về là lúc bạn bè gặp gở để trò chuyện hàn nguyên nhau sau 1 năm gặp lại. Không phải không dể tìm kiếm đâu quán này nằm trên con đường Ngô Mây nên dễ thấy. View quán zễ thương, à mình bật mí tầng 2 đẹp đấy nhé. mình thích trà sữa ở đây giá khá ok mà lại ngon, không cần phô trương này nọ miễn quán trà sữa ngon giá ok thì fan trà sữa như tụi mình tự tìm moi ra :)) chúc quán năm mới vui vẻ, phát triển hơn đặc biệt quán sớm sớm tạo ra những hương vị mới nhé <3",0,0,0,5,0,0
3305,"Vị trí gần biển, quảng trường và tháp trầm hương",0,3,0,0,0,0
595,Quán sát eo gió nên ăn xong lên eo gió chơi rất tiện. View đẹp là điểm cộng số 1,5,0,0,5,0,0
1808,"Khu Trung Tâm_x000D_
Trải nghiệm sống tiện nghi, phong phú tại Thị Nại Eco Bay với các công trình thương mai kết hợp vui chơi giải trí, phục vụ nhu cầu của cư dân và du khách._x000D_
_x000D_
Biệt thự trên đảo_x000D_
Gồm 4 loại biệt thự được bố trí theo từng nhánh, như dòng chảy của đại dương uốn quanh mềm mại, hài hòa với cảnh quan, thiết kế kết hợp hài hòa giữa tự do và riêng tư trong môi trường kết nối cộng đồng, phù hợp với lối sống hiện đại._x000D_
_x000D_
Khách sạn_x000D_
trên đảo_x000D_
Toạ lạc trên một đảo độc lập, yên tĩnh, được trang bị tiện ích đẳng cấp. Đặc biệt, khách sạn với góc nhìn tuyệt đẹp từ hầu hết các phòng._x000D_
_x000D_
Khu Resort trên cọc_x000D_
Khu resort trên cọc cho bạn tận hưởng thiên đường “Maldives” ngay tại Thị Nại Eco Bay, nơi giao hoà đất trời, riêng tư và gần gũi với thiên nhiên. Trải nghiệm giá trị cuộc sống cùng với rừng cây và đại dương bao quanh._x000D_
_x000D_
Bến Du thuyền_x000D_
Du thuyền không chỉ là phương tiện giao thông tiên tiến mà còn là trở thành điểm đến cho những ai tìm kiếm một lối sống phong cách và đẳng cấp. Bến du thuyền góp phần hoàn chỉnh các đầu mối giao thông khu vực trên 5 hòn đảo tại Thị Nại Eco Bay.",5,5,0,0,5,0
788,Nhân viên bất lịch sự. Nghe ko rõ hỏi lại thì gằn giọng và tắt máy giữa chừng!,0,0,0,0,1,0
3941,"Không gian biển đẹp tuy nhiên đơn vị quản lý để cho các nhóm khách vào ăn nhậu hát hò bằng loa kẹo kéo rất phản cảm, các lối vào bị bịt kín bằng các tảng đá không còn đường dành cho người khuyết tật. Mua bán hàng rong lấn chiếm không ai xử lý",1,0,0,0,0,0
4615,"Thực phẩm tuyệt vời, bầu không khí rất thoải mái. Bạn phải thử bia và cocktail Rooster của họ. Dot và Reece, bạn đã thực hiện một ngày!",0,0,0,4,0,0
2019,"Nhưng mà ở đây có máy lạnh nên ok 😋. Menu k có gì đặc sắc. Quán có phục vụ cả bánh nữa. Mình không ăn nên không đánh giá được.Phục vụ hơi chậm chạp. Nước lọc của khách hết cũng không rót, đợi xin mới đi rót. Có vẻ bạn phục vụ mới vào làm. Nhìn chung thì khá ưng. Rảnh sẽ quay lại.",0,0,0,4,0,0
5309,"Mình ở SG về đang loay hoay tìm quán cf sạch, hợp khẩu vị. Thử Phạm's House và đã là khách quen của quán từ đấy đến giờ. Với tín đồ cf thì 1 ly epresso sẽ là 1 sự lựa chọn hoàn hảo; lớp crema béo ngậy, cf thơm phức, vị cf hoàn hảo từ tỉ lệ cf chè và cf vối. Highly recommended!",0,0,0,5,0,0
1426,Chúng tôi bắt thuyền cao tốc để đi đến vang tau,0,0,0,0,3,0
2450,"Nhà hàng đẹp, không gian thoáng đãng ấm cúng, đồ ăn ngon đặc biệt là hải sản. một nơi cực thích hợp cho các cặp đôi",0,0,5,5,0,0
1948,"Xe máy mới, tốt, chạy rất ổn, không gặp bất kì trục trặc gì Anh Tính chủ xe thân thiện vui vẻ, giao nhận xe tận nơi, ngoài ra còn có dịch vụ đưa rước sân bay.",0,0,0,0,4,0
3532,"Quán tông đen màu yêu thích của mình nên đi ngang hay nghía lắm. Nghía thôi chứ hổng vô vì nước không có ngon. Đi 2 lần mà thất vọng cả 2 nên thôi say goodbye. Mà quán vẫn đông lắm chắc do mình không hợp hoặc do mình uống ở SG quen r nên thấy chất lượng nước không ra sao cả. Mà mình cực kì ghét ly nước lọc của quán, không biết phải nước máy hay không nhưng mà vị thì y như nước máy 😩😩chỉ thắc mắc nước bình cũng rẻ mà, quán đẹp như z không có đc ly nước trà thì chí ít cũng nước bình chứ.",0,0,0,4,0,0
289,"Xe mới, rất chất lượng, được giao xe tận nơi, nhận tận nơi rất nhanh chóng nữa. 2 bạn giao xe hướng dẫn mình ăn món bún rạm ở quy nhơn rẻ mà ngon quá, nhất định quay lại sẽ thuê xe bên bạn tiếp.",0,0,0,0,5,0
1685,"Mình cho nhỏ mượn để gọi dùm chiếc taxi, nhờ tài xế VinaSun chở ổng ghé Bệnh viện An Bình",0,0,0,0,3,0
2798,"Nhà hàng toát lên vẻ đẹp mộc mạc của châu Âu, đặc biệt là trong những tháng lạnh hơn. Thức ăn được lấy cảm hứng từ Pháp với sự biến tấu địa phương của Việt Nam. Nhưng việc lạm dụng bột ngọt trong bữa ăn khiến chúng tôi rất đau đầu và cho rằng chúng tôi sẽ không bao giờ đặt chân đến nhà hàng này nữa. Đồ ăn và dịch vụ ở Duong tốt hơn rất nhiều.",0,0,2,2,0,0
3370,Giá rẻ và chất lượng hơn hẳn một số khách sạn khác. Vị trí nằm gần biển! Highly recommend,0,5,0,0,0,0
967,"Lái xe gọi hẹn giờ trước và đợi đón đúng giờ. Nên sử dụng dịch vụ xe đưa đón san bay Phù Cát của đơn vị này._x000D_
",0,0,0,0,4,0
677,"Dịch vụ tour tốt, đồ ăn ngon, hướng dẫn viên dễ thương, nhiệt tình, thân thiện. Sẽ ủng hộ lần sau..Tour Phú Yên- Quy Nhơn 31/7-2/8- HDV Võ Anh Tuấn",5,0,0,4,0,0
3329,"Tôi rất ko hài lòng về thái độ phục vụ của nhân viên tính tiền. Thái độ của nhân viên cứ ""hầm hầm"" vậy, nói thì cứ như quát vào mặt ng ta. Ng ta mua đến quầy tính tiền rồi còn hỏi có tiền trả ko vậy là thái độ ""khinh thường"" à. Nên tôi đề nghị ban quản lí coi, điều chỉnh lại thái độ của nhân viên.",0,0,0,0,0,1
4517,Hiện đamg là rạp có chất lượng tốt nhất QN. Tuy nhiên giá bắp nước khá cao và chất lượng màn hình kém hẳn so với rạp CGV HCM,3,0,0,0,0,0
276,"Một trong những nhà hàng đẹp phong cảnh rất là khang trang sạch sẽ, món ăn thi ngon",0,0,5,5,0,0
4906,"Bãi biển trải dài tầm 5km. Bờ biển nông thoai thoải, sóng to. Tuy nhiên không có người dọn dẹp thường xuyên nên khá nhiều rác: rác trên bờ, rác dưới biển, xung quanh toàn là rác. Đặc biệt sáng thì càng không thể tắm nổi, chiều sẽ dễ tắm hơn..Vì là biển công cộng nên không mất phí. Hơi ít điểm rửa chân hoặc tráng người..Không có bán hàng rong, dịch vụ bên bờ biển. Tuy nhiên đây cũng là 1 trải nghiệm không tốt, vì bạn sẽ ko thể chill nằm dài bên bờ biển trên cái ghế võng. Hay nhâm nhi con mực, uống lon bia sau khi tắm....Nên quy hoạch cho phép dịch vụ, quản lý tốt tránh chặt chém. Và dùng chi phí này để dọn dẹp cải tạo bãi biển.",1,0,0,0,0,0
3377,"Ngon. Có thể do hợp khẩu vị nên thấy rất ngon. Đồ ăn tươi. Phục vụ rất nhanh. Nhà hàng sạch sẽ. Rất mát, ăn xong mới nhớ phải chụp hình.",0,0,0,5,0,0
2514,"Khu vui chơi mua sắm hiện đại, có rạp chiếu phim, có khu vui chơi cho trẻ em",3,0,0,0,0,0
3331," - Các hệ thống giải trí tại chỗ hoàn toàn không hoạt động (trên cả hai xe buýt), vì vậy don không mong đợi giải trí theo phong cách hàng không",0,0,0,0,2,0
2565,Từ nhân viên đến bạn quản lý ai đều rất thân thiện. Phòng ốc sạch sẽ xứng đáng với số tiền bỏ ra. Sẽ giới thiệu bạn bè đến nơi này nghỉ dưỡng ,0,4,0,0,0,0
3174,"Mì cay ăn ổn chứ k ngon xuẤt sắc, tính ra nước dùng cũng đậm đà, đủ topping các kiểu nên cũng dc, hải sản cũng, có cái phịc vụ hơi lâu, mình đi cuối tuần, quán hơi đông, chắc do vậy mà k đủ nhân viên, nếu có dịp sẽ ghé lại",0,0,0,4,0,0
3769,Các nhân viên là tuyệt vời. Anh chàng bảo vệ còn hữu ích nữa ❤️. Phòng sạch sẽ và vị trí gần bãi biển. Họ cũng có phòng tập thể dục và hồ bơi.,0,4,0,0,0,0
2894,"Không gian quán nhỏ xinh, bài trí nhìn rất ấm áp. Quán sạch sẽ, gọn gàng. Chè khúc bạch ở đây thì ngon khỏi bàn rồi, vị vải thanh, nhẹ nhàng hoà cùng thạch rau câu mềm mịn thêm hạt điều béo béo nữa. Ăn hết chén rồi nhưng hương vị vẫn còn đọng lại, lại muốn ăn thêm chén nữa ^^ Bánh ở đây khá ngon. Riêng có một điểm trừ nhỏ là toppoki, toppoki ở đây không ngon, vị lạ lạ bánh gạo thì nhão nhẹt, chả cá hơi tanh. Giá cả ở đây thì rất phù hợp với học sinh, sinh viên.",0,0,0,3,0,0
3914,"Bán hàng rẻ, đủ chủng loại, người dân nhiệt tình, thân thiện",0,0,0,0,0,4
3717,"Mua cải bó sôi k có, nhiều loại rau để lên bảng nhưng k có",0,0,0,0,0,3
4598,"Bé em nói có quán mới mở hai chị e lang thang đi ăn. Quán có không gian thoáng mát, view đẹp nè, anh chị nhân viên chủ quán nhiệt tình. Món ăn ngon. Thích hợp cho ngày hè lê la hàng quán :D. Chỉ có plan phomai là ứ thấy vị phomai đâu cả. Hiuhiu. Nhưng nhất định sẽ ủng hộ quán.",0,0,0,4,0,0
4921,"Holika hiện đang làm điên đảo giới trẻ Quy thành. Không gian hơi nhỏ nhưng với gam màu trắng xen lẫn những vật dụng màu hồng đem đến cho ta phong cách đa dạng từ sang trọng, hiện tại đến vintage, đến nhẹ nhàng. Vị trí quán cũng khá dễ tìm. Nhân viên dễ thương, nhiệt tình. Bánh trà sữa trân châu giá yêu thương 16.000 đồng/ bánh size nhỏ, 30.000 đồng/ bánh size lớn. Bánh khá là thơm và ngon nha, phần bông lan vị trà mềm mịn, lớp sốt trà sữa và trân châu... nói chung là ăn không thể cưỡng lại được, ngon lắm lắm luôn.",0,0,0,5,0,0
1605,Rất ổn app trong tầm giá,0,4,0,0,0,0
3518,"Có đầy đủ các loại đặc sản của Quy Nhơn. Nên mua ở đây vì giá cả hợp lý. Không nên mua ở phòng chờ trong sân bay, rất đắt.",0,0,0,0,0,4
3709,"Điều kiện phòng chưa đúng chuẩn 4*: thiếu hộp khăn giấy phòng khách, áo choàng, chỉ 2 gói trà mà không có cafe, cách âm chưa tốt, bồn tắm ko có chỗ để đặt xà bông",0,2,0,0,0,0
